[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  118: F1: 92.81, P: 93.77, R: 91.87, RollIn = 0.0024, NZW = 543027
  119: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0022, NZW = 542090
  120: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0021, NZW = 542009
  121: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0020, NZW = 541857
  122: F1: 92.85, P: 93.85, R: 91.87, RollIn = 0.0019, NZW = 541620
  123: F1: 92.78, P: 93.79, R: 91.79, RollIn = 0.0018, NZW = 539564
  124: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0017, NZW = 538486
  125: F1: 92.73, P: 93.74, R: 91.74, RollIn = 0.0016, NZW = 538096
  126: F1: 92.73, P: 93.73, R: 91.75, RollIn = 0.0016, NZW = 538188
  127: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0015, NZW = 538449
  128: F1: 92.59, P: 93.57, R: 91.64, RollIn = 0.0014, NZW = 536841
  129: F1: 92.61, P: 93.56, R: 91.69, RollIn = 0.0013, NZW = 536186
  130: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0013, NZW = 535986
  131: F1: 92.60, P: 93.51, R: 91.70, RollIn = 0.0012, NZW = 536327
  132: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0011, NZW = 536370
  133: F1: 92.59, P: 93.53, R: 91.67, RollIn = 0.0011, NZW = 534489
  134: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0010, NZW = 533697
  135: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0010, NZW = 533035
  136: F1: 92.68, P: 93.69, R: 91.69, RollIn = 0.0009, NZW = 533290
  137: F1: 92.67, P: 93.69, R: 91.67, RollIn = 0.0009, NZW = 532916
  138: F1: 92.67, P: 93.72, R: 91.64, RollIn = 0.0008, NZW = 531135
  139: F1: 92.73, P: 93.77, R: 91.70, RollIn = 0.0008, NZW = 530709
  140: F1: 92.73, P: 93.77, R: 91.72, RollIn = 0.0008, NZW = 530543
  141: F1: 92.75, P: 93.76, R: 91.77, RollIn = 0.0007, NZW = 530592
  142: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0007, NZW = 530133
  143: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0007, NZW = 528660
  144: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0006, NZW = 528199
  145: F1: 92.77, P: 93.79, R: 91.77, RollIn = 0.0006, NZW = 528181
  146: F1: 92.76, P: 93.79, R: 91.75, RollIn = 0.0006, NZW = 528207
  147: F1: 92.84, P: 93.84, R: 91.85, RollIn = 0.0005, NZW = 527223
  148: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0005, NZW = 525899
  149: F1: 92.80, P: 93.79, R: 91.82, RollIn = 0.0005, NZW = 525499
  150: F1: 92.86, P: 93.86, R: 91.87, RollIn = 0.0005, NZW = 525645
  151: F1: 92.81, P: 93.81, R: 91.84, RollIn = 0.0004, NZW = 525723
  152: F1: 92.81, P: 93.83, R: 91.82, RollIn = 0.0004, NZW = 524606
  153: F1: 92.78, P: 93.79, R: 91.79, RollIn = 0.0004, NZW = 523593
  154: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0004, NZW = 523248
  155: F1: 92.79, P: 93.78, R: 91.82, RollIn = 0.0004, NZW = 522839
  156: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0003, NZW = 522713
  157: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0003, NZW = 521482
  158: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0003, NZW = 520562
  159: F1: 92.70, P: 93.68, R: 91.74, RollIn = 0.0003, NZW = 519681
  160: F1: 92.70, P: 93.68, R: 91.74, RollIn = 0.0003, NZW = 519462
  161: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0003, NZW = 519488
  162: F1: 92.70, P: 93.71, R: 91.72, RollIn = 0.0002, NZW = 518323
  163: F1: 92.72, P: 93.71, R: 91.75, RollIn = 0.0002, NZW = 517302
  164: F1: 92.71, P: 93.69, R: 91.75, RollIn = 0.0002, NZW = 517171
  165: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0002, NZW = 517433
  166: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.0002, NZW = 517700
  167: F1: 92.81, P: 93.78, R: 91.85, RollIn = 0.0002, NZW = 516201
  168: F1: 92.75, P: 93.74, R: 91.77, RollIn = 0.0002, NZW = 515618
  169: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0002, NZW = 515162
  170: F1: 92.79, P: 93.78, R: 91.82, RollIn = 0.0002, NZW = 514975
  171: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0002, NZW = 514748
  172: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0001, NZW = 512635
  173: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0001, NZW = 512056
  174: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0001, NZW = 511918
  175: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0001, NZW = 511553
  176: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0001, NZW = 511184
  177: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0001, NZW = 508857
  178: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0001, NZW = 508719
  179: F1: 92.81, P: 93.77, R: 91.87, RollIn = 0.0001, NZW = 508706
  180: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0001, NZW = 508877
  181: F1: 92.81, P: 93.77, R: 91.87, RollIn = 0.0001, NZW = 509269
  182: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0001, NZW = 507873
  183: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0001, NZW = 507913
  184: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0001, NZW = 507879
  185: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0001, NZW = 507672
  186: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0001, NZW = 507346
  187: F1: 92.68, P: 93.70, R: 91.69, RollIn = 0.0001, NZW = 506125
  188: F1: 92.70, P: 93.71, R: 91.72, RollIn = 0.0001, NZW = 505788
  189: F1: 92.70, P: 93.68, R: 91.74, RollIn = 0.0001, NZW = 505783
  190: F1: 92.65, P: 93.66, R: 91.67, RollIn = 0.0001, NZW = 505733
  191: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0001, NZW = 505414
  192: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0001, NZW = 504345
  193: F1: 92.66, P: 93.58, R: 91.75, RollIn = 0.0001, NZW = 504244
  194: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 503996
  195: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0000, NZW = 504144
