[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   96: F1: 92.63, P: 93.58, R: 91.70, RollIn = 0.0073, NZW = 545783
   97: F1: 92.64, P: 93.55, R: 91.75, RollIn = 0.0069, NZW = 545536
   98: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0066, NZW = 544656
   99: F1: 92.68, P: 93.60, R: 91.77, RollIn = 0.0062, NZW = 542481
  100: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.0059, NZW = 542212
  101: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0056, NZW = 541591
  102: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0053, NZW = 541528
  103: F1: 92.69, P: 93.61, R: 91.79, RollIn = 0.0051, NZW = 540522
  104: F1: 92.65, P: 93.56, R: 91.75, RollIn = 0.0048, NZW = 538962
  105: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.0046, NZW = 538440
  106: F1: 92.73, P: 93.63, R: 91.84, RollIn = 0.0044, NZW = 538514
  107: F1: 92.71, P: 93.60, R: 91.84, RollIn = 0.0041, NZW = 538410
  108: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0039, NZW = 537273
  109: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0037, NZW = 536200
  110: F1: 92.64, P: 93.53, R: 91.77, RollIn = 0.0035, NZW = 536058
  111: F1: 92.57, P: 93.45, R: 91.70, RollIn = 0.0034, NZW = 535855
  112: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0032, NZW = 536024
  113: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0030, NZW = 534759
  114: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0029, NZW = 533691
  115: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0027, NZW = 533701
  116: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0026, NZW = 533499
  117: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0025, NZW = 533255
  118: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0024, NZW = 531749
  119: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0022, NZW = 530981
