[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  167: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0002, NZW = 427155
  168: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0002, NZW = 426782
  169: F1: 92.69, P: 93.63, R: 91.77, RollIn = 0.0002, NZW = 426629
  170: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0002, NZW = 426645
  171: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0002, NZW = 426648
  172: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0001, NZW = 425216
  173: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0001, NZW = 425074
  174: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0001, NZW = 424862
  175: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0001, NZW = 425188
  176: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0001, NZW = 425184
  177: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0001, NZW = 424041
  178: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0001, NZW = 423822
  179: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0001, NZW = 423805
  180: F1: 92.67, P: 93.63, R: 91.74, RollIn = 0.0001, NZW = 423876
  181: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0001, NZW = 423709
  182: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0001, NZW = 422584
  183: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0001, NZW = 422130
  184: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0001, NZW = 421889
  185: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0001, NZW = 421971
  186: F1: 92.68, P: 93.60, R: 91.77, RollIn = 0.0001, NZW = 421627
  187: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0001, NZW = 420612
  188: F1: 92.66, P: 93.61, R: 91.72, RollIn = 0.0001, NZW = 420444
  189: F1: 92.70, P: 93.66, R: 91.75, RollIn = 0.0001, NZW = 420327
  190: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0001, NZW = 420441
  191: F1: 92.67, P: 93.63, R: 91.74, RollIn = 0.0001, NZW = 419629
  192: F1: 92.63, P: 93.58, R: 91.70, RollIn = 0.0001, NZW = 418829
  193: F1: 92.66, P: 93.63, R: 91.72, RollIn = 0.0001, NZW = 418512
  194: F1: 92.68, P: 93.64, R: 91.74, RollIn = 0.0000, NZW = 418260
  195: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0000, NZW = 418250
  196: F1: 92.77, P: 93.71, R: 91.84, RollIn = 0.0000, NZW = 417534
  197: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0000, NZW = 416784
  198: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.0000, NZW = 416279
  199: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0000, NZW = 416163
  200: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0000, NZW = 416020
  201: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0000, NZW = 415413
  202: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0000, NZW = 415039
  203: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.0000, NZW = 414911
  204: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0000, NZW = 414892
  205: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0000, NZW = 414908
  206: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0000, NZW = 414173
  207: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0000, NZW = 413883
  208: F1: 92.68, P: 93.66, R: 91.72, RollIn = 0.0000, NZW = 413591
  209: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0000, NZW = 413363
  210: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0000, NZW = 413462
  211: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0000, NZW = 412269
  212: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0000, NZW = 411641
  213: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0000, NZW = 411491
  214: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0000, NZW = 411322
  215: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0000, NZW = 411222
  216: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0000, NZW = 410042
  217: F1: 92.73, P: 93.71, R: 91.77, RollIn = 0.0000, NZW = 409927
  218: F1: 92.76, P: 93.71, R: 91.82, RollIn = 0.0000, NZW = 409834
  219: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.0000, NZW = 409604
  220: F1: 92.80, P: 93.70, R: 91.91, RollIn = 0.0000, NZW = 409581
  221: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0000, NZW = 408345
  222: F1: 92.74, P: 93.64, R: 91.85, RollIn = 0.0000, NZW = 408106
  223: F1: 92.74, P: 93.65, R: 91.84, RollIn = 0.0000, NZW = 408182
  224: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.0000, NZW = 408384
  225: F1: 92.74, P: 93.65, R: 91.84, RollIn = 0.0000, NZW = 408394
  226: F1: 92.78, P: 93.69, R: 91.89, RollIn = 0.0000, NZW = 407298
  227: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0000, NZW = 407280
  228: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0000, NZW = 407116
  229: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0000, NZW = 407116
  230: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0000, NZW = 406861
  231: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0000, NZW = 406085
  232: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0000, NZW = 406029
  233: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0000, NZW = 405915
  234: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0000, NZW = 405884
  235: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0000, NZW = 405431
  236: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0000, NZW = 404679
  237: F1: 92.63, P: 93.58, R: 91.70, RollIn = 0.0000, NZW = 404587
  238: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 404597
  239: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0000, NZW = 404522
  240: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 403789
  241: F1: 92.62, P: 93.55, R: 91.72, RollIn = 0.0000, NZW = 403242
  242: F1: 92.69, P: 93.61, R: 91.79, RollIn = 0.0000, NZW = 403237
  243: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0000, NZW = 403053
  244: F1: 92.69, P: 93.61, R: 91.79, RollIn = 0.0000, NZW = 403243
  245: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0000, NZW = 402536
  246: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0000, NZW = 402004
  247: F1: 92.65, P: 93.56, R: 91.75, RollIn = 0.0000, NZW = 401916
  248: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0000, NZW = 401820
  249: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0000, NZW = 401855
  250: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0000, NZW = 401036
  251: F1: 92.69, P: 93.63, R: 91.77, RollIn = 0.0000, NZW = 400710
  252: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 400948
  253: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0000, NZW = 400899
  254: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0000, NZW = 401038
  255: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0000, NZW = 400214
  256: F1: 92.60, P: 93.56, R: 91.67, RollIn = 0.0000, NZW = 399814
  257: F1: 92.60, P: 93.56, R: 91.67, RollIn = 0.0000, NZW = 399738
  258: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0000, NZW = 399868
  259: F1: 92.61, P: 93.54, R: 91.69, RollIn = 0.0000, NZW = 399982
  260: F1: 92.65, P: 93.59, R: 91.72, RollIn = 0.0000, NZW = 399116
  261: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0000, NZW = 399041
  262: F1: 92.66, P: 93.61, R: 91.72, RollIn = 0.0000, NZW = 398940
  263: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 399092
  264: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 398996
  265: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0000, NZW = 397847
  266: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0000, NZW = 397723
  267: F1: 92.65, P: 93.64, R: 91.69, RollIn = 0.0000, NZW = 397432
  268: F1: 92.70, P: 93.66, R: 91.75, RollIn = 0.0000, NZW = 397420
  269: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0000, NZW = 397302
  270: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0000, NZW = 396432
  271: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 396407
  272: F1: 92.63, P: 93.56, R: 91.72, RollIn = 0.0000, NZW = 396558
  273: F1: 92.61, P: 93.54, R: 91.69, RollIn = 0.0000, NZW = 396703
  274: F1: 92.61, P: 93.54, R: 91.69, RollIn = 0.0000, NZW = 396224
  275: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0000, NZW = 395492
  276: F1: 92.62, P: 93.61, R: 91.65, RollIn = 0.0000, NZW = 395482
  277: F1: 92.67, P: 93.66, R: 91.70, RollIn = 0.0000, NZW = 395554
  278: F1: 92.62, P: 93.59, R: 91.67, RollIn = 0.0000, NZW = 395533
  279: F1: 92.64, P: 93.62, R: 91.67, RollIn = 0.0000, NZW = 395023
  280: F1: 92.59, P: 93.54, R: 91.65, RollIn = 0.0000, NZW = 394633
  281: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0000, NZW = 394372
  282: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0000, NZW = 394120
  283: F1: 92.59, P: 93.53, R: 91.67, RollIn = 0.0000, NZW = 394097
  284: F1: 92.57, P: 93.52, R: 91.64, RollIn = 0.0000, NZW = 393723
  285: F1: 92.56, P: 93.54, R: 91.60, RollIn = 0.0000, NZW = 393375
  286: F1: 92.61, P: 93.57, R: 91.67, RollIn = 0.0000, NZW = 393319
  287: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0000, NZW = 393347
  288: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.0000, NZW = 393305
  289: F1: 92.57, P: 93.51, R: 91.65, RollIn = 0.0000, NZW = 392824
  290: F1: 92.62, P: 93.53, R: 91.72, RollIn = 0.0000, NZW = 392453
  291: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0000, NZW = 392718
  292: F1: 92.57, P: 93.51, R: 91.65, RollIn = 0.0000, NZW = 392571
  293: F1: 92.54, P: 93.49, R: 91.60, RollIn = 0.0000, NZW = 392623
  294: F1: 92.53, P: 93.47, R: 91.60, RollIn = 0.0000, NZW = 392060
  295: F1: 92.54, P: 93.48, R: 91.62, RollIn = 0.0000, NZW = 391608
  296: F1: 92.55, P: 93.49, R: 91.64, RollIn = 0.0000, NZW = 391266
  297: F1: 92.56, P: 93.51, R: 91.64, RollIn = 0.0000, NZW = 391076
  298: F1: 92.58, P: 93.53, R: 91.65, RollIn = 0.0000, NZW = 391370
