[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
  115: F1: 92.03, P: 93.20, R: 90.90, RollIn = 0.0027, NZW = 608855
  116: F1: 92.05, P: 93.22, R: 90.91, RollIn = 0.0026, NZW = 607476
  117: F1: 92.05, P: 93.22, R: 90.91, RollIn = 0.0025, NZW = 608096
  118: F1: 92.08, P: 93.24, R: 90.95, RollIn = 0.0024, NZW = 607295
  119: F1: 92.09, P: 93.28, R: 90.93, RollIn = 0.0022, NZW = 607135
  120: F1: 92.06, P: 93.22, R: 90.93, RollIn = 0.0021, NZW = 607008
  121: F1: 92.03, P: 93.20, R: 90.90, RollIn = 0.0020, NZW = 606170
  122: F1: 92.03, P: 93.20, R: 90.90, RollIn = 0.0019, NZW = 606349
  123: F1: 92.09, P: 93.24, R: 90.96, RollIn = 0.0018, NZW = 605196
  124: F1: 92.07, P: 93.22, R: 90.95, RollIn = 0.0017, NZW = 605284
  125: F1: 92.05, P: 93.20, R: 90.93, RollIn = 0.0016, NZW = 605289
  126: F1: 92.03, P: 93.20, R: 90.90, RollIn = 0.0016, NZW = 604621
  127: F1: 92.03, P: 93.18, R: 90.90, RollIn = 0.0015, NZW = 604962
  128: F1: 92.03, P: 93.18, R: 90.90, RollIn = 0.0014, NZW = 603684
  129: F1: 92.06, P: 93.22, R: 90.93, RollIn = 0.0013, NZW = 603720
  130: F1: 92.06, P: 93.22, R: 90.93, RollIn = 0.0013, NZW = 603158
  131: F1: 92.06, P: 93.22, R: 90.93, RollIn = 0.0012, NZW = 602869
  132: F1: 92.08, P: 93.24, R: 90.95, RollIn = 0.0011, NZW = 603501
  133: F1: 92.08, P: 93.24, R: 90.95, RollIn = 0.0011, NZW = 602320
  134: F1: 92.09, P: 93.25, R: 90.96, RollIn = 0.0010, NZW = 602744
  135: F1: 92.09, P: 93.25, R: 90.96, RollIn = 0.0010, NZW = 601755
  136: F1: 92.10, P: 93.27, R: 90.96, RollIn = 0.0009, NZW = 601514
  137: F1: 92.12, P: 93.29, R: 90.98, RollIn = 0.0009, NZW = 601401
  138: F1: 92.11, P: 93.27, R: 90.98, RollIn = 0.0008, NZW = 600137
  139: F1: 92.10, P: 93.27, R: 90.96, RollIn = 0.0008, NZW = 600396
  140: F1: 92.14, P: 93.29, R: 91.01, RollIn = 0.0008, NZW = 599500
