[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  116: F1: 92.19, P: 93.13, R: 91.27, RollIn = 0.0026, NZW = 476684
  117: F1: 92.25, P: 93.23, R: 91.30, RollIn = 0.0025, NZW = 476445
  118: F1: 92.21, P: 93.18, R: 91.27, RollIn = 0.0024, NZW = 475372
  119: F1: 92.19, P: 93.16, R: 91.23, RollIn = 0.0022, NZW = 474733
  120: F1: 92.25, P: 93.20, R: 91.32, RollIn = 0.0021, NZW = 474714
  121: F1: 92.28, P: 93.23, R: 91.35, RollIn = 0.0020, NZW = 474364
  122: F1: 92.27, P: 93.20, R: 91.35, RollIn = 0.0019, NZW = 474199
  123: F1: 92.24, P: 93.18, R: 91.32, RollIn = 0.0018, NZW = 472772
  124: F1: 92.35, P: 93.30, R: 91.42, RollIn = 0.0017, NZW = 472043
  125: F1: 92.27, P: 93.22, R: 91.35, RollIn = 0.0016, NZW = 471877
  126: F1: 92.28, P: 93.20, R: 91.38, RollIn = 0.0016, NZW = 471837
  127: F1: 92.29, P: 93.19, R: 91.40, RollIn = 0.0015, NZW = 471400
  128: F1: 92.36, P: 93.32, R: 91.42, RollIn = 0.0014, NZW = 469681
  129: F1: 92.39, P: 93.37, R: 91.43, RollIn = 0.0013, NZW = 469232
  130: F1: 92.40, P: 93.41, R: 91.40, RollIn = 0.0013, NZW = 468677
  131: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0012, NZW = 468685
  132: F1: 92.33, P: 93.28, R: 91.40, RollIn = 0.0011, NZW = 468376
  133: F1: 92.33, P: 93.28, R: 91.40, RollIn = 0.0011, NZW = 466841
  134: F1: 92.32, P: 93.27, R: 91.40, RollIn = 0.0010, NZW = 466491
  135: F1: 92.31, P: 93.25, R: 91.38, RollIn = 0.0010, NZW = 466577
  136: F1: 92.27, P: 93.22, R: 91.35, RollIn = 0.0009, NZW = 466452
  137: F1: 92.33, P: 93.28, R: 91.40, RollIn = 0.0009, NZW = 466401
  138: F1: 92.26, P: 93.25, R: 91.30, RollIn = 0.0008, NZW = 464755
  139: F1: 92.24, P: 93.21, R: 91.28, RollIn = 0.0008, NZW = 464360
  140: F1: 92.24, P: 93.21, R: 91.28, RollIn = 0.0008, NZW = 464126
  141: F1: 92.31, P: 93.30, R: 91.35, RollIn = 0.0007, NZW = 463968
  142: F1: 92.28, P: 93.28, R: 91.30, RollIn = 0.0007, NZW = 463436
  143: F1: 92.26, P: 93.26, R: 91.28, RollIn = 0.0007, NZW = 462190
  144: F1: 92.25, P: 93.23, R: 91.30, RollIn = 0.0006, NZW = 461955
  145: F1: 92.23, P: 93.21, R: 91.27, RollIn = 0.0006, NZW = 461664
  146: F1: 92.20, P: 93.21, R: 91.22, RollIn = 0.0006, NZW = 461669
  147: F1: 92.17, P: 93.14, R: 91.22, RollIn = 0.0005, NZW = 460913
  148: F1: 92.27, P: 93.22, R: 91.35, RollIn = 0.0005, NZW = 459751
  149: F1: 92.26, P: 93.20, R: 91.33, RollIn = 0.0005, NZW = 459507
  150: F1: 92.26, P: 93.22, R: 91.33, RollIn = 0.0005, NZW = 459386
  151: F1: 92.29, P: 93.26, R: 91.33, RollIn = 0.0004, NZW = 459280
  152: F1: 92.28, P: 93.28, R: 91.30, RollIn = 0.0004, NZW = 458679
  153: F1: 92.31, P: 93.27, R: 91.37, RollIn = 0.0004, NZW = 458151
  154: F1: 92.24, P: 93.20, R: 91.30, RollIn = 0.0004, NZW = 457859
  155: F1: 92.22, P: 93.17, R: 91.30, RollIn = 0.0004, NZW = 457739
  156: F1: 92.26, P: 93.20, R: 91.33, RollIn = 0.0003, NZW = 457830
  157: F1: 92.26, P: 93.20, R: 91.33, RollIn = 0.0003, NZW = 457075
  158: F1: 92.27, P: 93.22, R: 91.35, RollIn = 0.0003, NZW = 456508
  159: F1: 92.23, P: 93.20, R: 91.28, RollIn = 0.0003, NZW = 456144
  160: F1: 92.25, P: 93.21, R: 91.30, RollIn = 0.0003, NZW = 456206
  161: F1: 92.26, P: 93.23, R: 91.32, RollIn = 0.0003, NZW = 456453
  162: F1: 92.28, P: 93.25, R: 91.33, RollIn = 0.0002, NZW = 455235
  163: F1: 92.27, P: 93.26, R: 91.30, RollIn = 0.0002, NZW = 454501
  164: F1: 92.31, P: 93.28, R: 91.37, RollIn = 0.0002, NZW = 454197
  165: F1: 92.30, P: 93.30, R: 91.33, RollIn = 0.0002, NZW = 454181
  166: F1: 92.24, P: 93.24, R: 91.27, RollIn = 0.0002, NZW = 454396
  167: F1: 92.24, P: 93.23, R: 91.28, RollIn = 0.0002, NZW = 453246
  168: F1: 92.25, P: 93.23, R: 91.30, RollIn = 0.0002, NZW = 452869
  169: F1: 92.21, P: 93.19, R: 91.25, RollIn = 0.0002, NZW = 452712
  170: F1: 92.21, P: 93.21, R: 91.23, RollIn = 0.0002, NZW = 452816
  171: F1: 92.19, P: 93.19, R: 91.22, RollIn = 0.0002, NZW = 452550
  172: F1: 92.24, P: 93.21, R: 91.28, RollIn = 0.0001, NZW = 451167
  173: F1: 92.20, P: 93.19, R: 91.23, RollIn = 0.0001, NZW = 450690
  174: F1: 92.20, P: 93.18, R: 91.25, RollIn = 0.0001, NZW = 450637
  175: F1: 92.26, P: 93.25, R: 91.30, RollIn = 0.0001, NZW = 450618
  176: F1: 92.20, P: 93.19, R: 91.23, RollIn = 0.0001, NZW = 450461
  177: F1: 92.20, P: 93.18, R: 91.25, RollIn = 0.0001, NZW = 449073
  178: F1: 92.22, P: 93.22, R: 91.23, RollIn = 0.0001, NZW = 448807
  179: F1: 92.17, P: 93.17, R: 91.18, RollIn = 0.0001, NZW = 448470
  180: F1: 92.30, P: 93.28, R: 91.33, RollIn = 0.0001, NZW = 448306
  181: F1: 92.26, P: 93.22, R: 91.33, RollIn = 0.0001, NZW = 447936
  182: F1: 92.22, P: 93.18, R: 91.28, RollIn = 0.0001, NZW = 446597
  183: F1: 92.24, P: 93.20, R: 91.30, RollIn = 0.0001, NZW = 446302
  184: F1: 92.33, P: 93.30, R: 91.38, RollIn = 0.0001, NZW = 445784
  185: F1: 92.34, P: 93.32, R: 91.38, RollIn = 0.0001, NZW = 445787
  186: F1: 92.41, P: 93.38, R: 91.45, RollIn = 0.0001, NZW = 445324
  187: F1: 92.40, P: 93.38, R: 91.43, RollIn = 0.0001, NZW = 444461
  188: F1: 92.38, P: 93.32, R: 91.45, RollIn = 0.0001, NZW = 444294
  189: F1: 92.37, P: 93.35, R: 91.42, RollIn = 0.0001, NZW = 444144
  190: F1: 92.34, P: 93.32, R: 91.38, RollIn = 0.0001, NZW = 444111
  191: F1: 92.34, P: 93.29, R: 91.42, RollIn = 0.0001, NZW = 443730
  192: F1: 92.36, P: 93.32, R: 91.42, RollIn = 0.0001, NZW = 442935
  193: F1: 92.35, P: 93.33, R: 91.38, RollIn = 0.0001, NZW = 442603
  194: F1: 92.26, P: 93.29, R: 91.25, RollIn = 0.0000, NZW = 442541
  195: F1: 92.30, P: 93.28, R: 91.33, RollIn = 0.0000, NZW = 442508
  196: F1: 92.36, P: 93.35, R: 91.40, RollIn = 0.0000, NZW = 442099
  197: F1: 92.36, P: 93.35, R: 91.40, RollIn = 0.0000, NZW = 441449
  198: F1: 92.43, P: 93.43, R: 91.45, RollIn = 0.0000, NZW = 441260
  199: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0000, NZW = 441081
  200: F1: 92.44, P: 93.45, R: 91.45, RollIn = 0.0000, NZW = 441223
  201: F1: 92.38, P: 93.40, R: 91.38, RollIn = 0.0000, NZW = 440645
  202: F1: 92.44, P: 93.45, R: 91.45, RollIn = 0.0000, NZW = 440229
  203: F1: 92.43, P: 93.45, R: 91.43, RollIn = 0.0000, NZW = 440116
  204: F1: 92.45, P: 93.48, R: 91.45, RollIn = 0.0000, NZW = 440151
  205: F1: 92.35, P: 93.35, R: 91.38, RollIn = 0.0000, NZW = 440152
  206: F1: 92.37, P: 93.35, R: 91.42, RollIn = 0.0000, NZW = 439279
  207: F1: 92.37, P: 93.38, R: 91.38, RollIn = 0.0000, NZW = 438867
  208: F1: 92.37, P: 93.39, R: 91.37, RollIn = 0.0000, NZW = 438668
  209: F1: 92.36, P: 93.35, R: 91.40, RollIn = 0.0000, NZW = 438735
  210: F1: 92.42, P: 93.43, R: 91.43, RollIn = 0.0000, NZW = 438519
  211: F1: 92.39, P: 93.40, R: 91.40, RollIn = 0.0000, NZW = 437418
  212: F1: 92.37, P: 93.38, R: 91.38, RollIn = 0.0000, NZW = 437177
  213: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0000, NZW = 437163
  214: F1: 92.31, P: 93.34, R: 91.30, RollIn = 0.0000, NZW = 437224
  215: F1: 92.39, P: 93.41, R: 91.38, RollIn = 0.0000, NZW = 437275
  216: F1: 92.34, P: 93.36, R: 91.33, RollIn = 0.0000, NZW = 436341
  217: F1: 92.27, P: 93.29, R: 91.27, RollIn = 0.0000, NZW = 435976
  218: F1: 92.28, P: 93.31, R: 91.28, RollIn = 0.0000, NZW = 435654
  219: F1: 92.31, P: 93.31, R: 91.33, RollIn = 0.0000, NZW = 435534
  220: F1: 92.29, P: 93.31, R: 91.30, RollIn = 0.0000, NZW = 435418
  221: F1: 92.33, P: 93.33, R: 91.35, RollIn = 0.0000, NZW = 434336
  222: F1: 92.31, P: 93.30, R: 91.35, RollIn = 0.0000, NZW = 434204
  223: F1: 92.35, P: 93.35, R: 91.38, RollIn = 0.0000, NZW = 434124
  224: F1: 92.34, P: 93.33, R: 91.37, RollIn = 0.0000, NZW = 434178
  225: F1: 92.39, P: 93.43, R: 91.38, RollIn = 0.0000, NZW = 433903
  226: F1: 92.39, P: 93.41, R: 91.38, RollIn = 0.0000, NZW = 433062
  227: F1: 92.44, P: 93.46, R: 91.43, RollIn = 0.0000, NZW = 433085
  228: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0000, NZW = 433050
  229: F1: 92.39, P: 93.40, R: 91.40, RollIn = 0.0000, NZW = 433110
  230: F1: 92.40, P: 93.40, R: 91.42, RollIn = 0.0000, NZW = 432759
  231: F1: 92.34, P: 93.33, R: 91.37, RollIn = 0.0000, NZW = 431906
  232: F1: 92.35, P: 93.38, R: 91.35, RollIn = 0.0000, NZW = 431758
  233: F1: 92.33, P: 93.33, R: 91.35, RollIn = 0.0000, NZW = 431787
  234: F1: 92.36, P: 93.38, R: 91.37, RollIn = 0.0000, NZW = 431686
  235: F1: 92.39, P: 93.41, R: 91.38, RollIn = 0.0000, NZW = 431089
  236: F1: 92.36, P: 93.41, R: 91.33, RollIn = 0.0000, NZW = 430374
  237: F1: 92.31, P: 93.36, R: 91.28, RollIn = 0.0000, NZW = 430191
  238: F1: 92.31, P: 93.34, R: 91.30, RollIn = 0.0000, NZW = 430196
  239: F1: 92.31, P: 93.34, R: 91.30, RollIn = 0.0000, NZW = 430265
