[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.02, l1 = 2.0E-6, bias = 0.0, batch = 5
  218: F1: 92.40, P: 93.43, R: 91.40, RollIn = 0.0000, NZW = 741250
  219: F1: 92.39, P: 93.44, R: 91.37, RollIn = 0.0000, NZW = 741295
  220: F1: 92.39, P: 93.44, R: 91.37, RollIn = 0.0000, NZW = 741292
  221: F1: 92.41, P: 93.47, R: 91.37, RollIn = 0.0000, NZW = 741284
  222: F1: 92.35, P: 93.41, R: 91.32, RollIn = 0.0000, NZW = 741328
  223: F1: 92.43, P: 93.48, R: 91.40, RollIn = 0.0000, NZW = 741314
  224: F1: 92.39, P: 93.46, R: 91.35, RollIn = 0.0000, NZW = 741273
  225: F1: 92.41, P: 93.49, R: 91.35, RollIn = 0.0000, NZW = 741362
  226: F1: 92.43, P: 93.49, R: 91.40, RollIn = 0.0000, NZW = 741333
  227: F1: 92.43, P: 93.49, R: 91.40, RollIn = 0.0000, NZW = 741332
  228: F1: 92.48, P: 93.54, R: 91.43, RollIn = 0.0000, NZW = 741347
  229: F1: 92.51, P: 93.56, R: 91.48, RollIn = 0.0000, NZW = 741348
  230: F1: 92.46, P: 93.48, R: 91.47, RollIn = 0.0000, NZW = 741471
  231: F1: 92.52, P: 93.56, R: 91.50, RollIn = 0.0000, NZW = 741460
  232: F1: 92.49, P: 93.55, R: 91.47, RollIn = 0.0000, NZW = 741478
  233: F1: 92.48, P: 93.54, R: 91.43, RollIn = 0.0000, NZW = 741444
  234: F1: 92.49, P: 93.55, R: 91.47, RollIn = 0.0000, NZW = 741441
  235: F1: 92.52, P: 93.55, R: 91.52, RollIn = 0.0000, NZW = 741397
  236: F1: 92.53, P: 93.54, R: 91.55, RollIn = 0.0000, NZW = 741481
  237: F1: 92.48, P: 93.48, R: 91.50, RollIn = 0.0000, NZW = 741588
  238: F1: 92.51, P: 93.50, R: 91.53, RollIn = 0.0000, NZW = 741608
  239: F1: 92.49, P: 93.50, R: 91.50, RollIn = 0.0000, NZW = 741611
  240: F1: 92.52, P: 93.55, R: 91.52, RollIn = 0.0000, NZW = 741664
  241: F1: 92.49, P: 93.51, R: 91.48, RollIn = 0.0000, NZW = 741708
  242: F1: 92.50, P: 93.52, R: 91.50, RollIn = 0.0000, NZW = 741778
  243: F1: 92.47, P: 93.50, R: 91.47, RollIn = 0.0000, NZW = 741790
  244: F1: 92.50, P: 93.53, R: 91.48, RollIn = 0.0000, NZW = 741788
  245: F1: 92.51, P: 93.53, R: 91.50, RollIn = 0.0000, NZW = 741772
  246: F1: 92.49, P: 93.51, R: 91.48, RollIn = 0.0000, NZW = 741758
  247: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0000, NZW = 741796
  248: F1: 92.49, P: 93.50, R: 91.50, RollIn = 0.0000, NZW = 741835
  249: F1: 92.41, P: 93.41, R: 91.43, RollIn = 0.0000, NZW = 741864
  250: F1: 92.46, P: 93.48, R: 91.47, RollIn = 0.0000, NZW = 741856
  251: F1: 92.45, P: 93.45, R: 91.47, RollIn = 0.0000, NZW = 741872
  252: F1: 92.39, P: 93.37, R: 91.43, RollIn = 0.0000, NZW = 741989
  253: F1: 92.35, P: 93.35, R: 91.38, RollIn = 0.0000, NZW = 741976
  254: F1: 92.40, P: 93.40, R: 91.42, RollIn = 0.0000, NZW = 742021
  255: F1: 92.45, P: 93.43, R: 91.48, RollIn = 0.0000, NZW = 742011
  256: F1: 92.41, P: 93.38, R: 91.45, RollIn = 0.0000, NZW = 742114
  257: F1: 92.45, P: 93.45, R: 91.47, RollIn = 0.0000, NZW = 742111
  258: F1: 92.41, P: 93.43, R: 91.42, RollIn = 0.0000, NZW = 742179
  259: F1: 92.43, P: 93.37, R: 91.50, RollIn = 0.0000, NZW = 742209
  260: F1: 92.49, P: 93.45, R: 91.55, RollIn = 0.0000, NZW = 742269
  261: F1: 92.51, P: 93.50, R: 91.53, RollIn = 0.0000, NZW = 742360
  262: F1: 92.47, P: 93.44, R: 91.52, RollIn = 0.0000, NZW = 742426
  263: F1: 92.48, P: 93.41, R: 91.57, RollIn = 0.0000, NZW = 742506
  264: F1: 92.47, P: 93.42, R: 91.53, RollIn = 0.0000, NZW = 742621
  265: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0000, NZW = 742638
  266: F1: 92.46, P: 93.42, R: 91.52, RollIn = 0.0000, NZW = 742704
  267: F1: 92.42, P: 93.38, R: 91.47, RollIn = 0.0000, NZW = 742735
  268: F1: 92.42, P: 93.37, R: 91.48, RollIn = 0.0000, NZW = 742703
  269: F1: 92.44, P: 93.42, R: 91.48, RollIn = 0.0000, NZW = 742738
  270: F1: 92.43, P: 93.42, R: 91.47, RollIn = 0.0000, NZW = 742886
  271: F1: 92.38, P: 93.35, R: 91.43, RollIn = 0.0000, NZW = 742928
  272: F1: 92.43, P: 93.39, R: 91.48, RollIn = 0.0000, NZW = 742994
  273: F1: 92.45, P: 93.42, R: 91.50, RollIn = 0.0000, NZW = 743049
  274: F1: 92.45, P: 93.42, R: 91.50, RollIn = 0.0000, NZW = 743135
  275: F1: 92.49, P: 93.47, R: 91.53, RollIn = 0.0000, NZW = 743161
  276: F1: 92.47, P: 93.47, R: 91.50, RollIn = 0.0000, NZW = 743188
  277: F1: 92.51, P: 93.52, R: 91.52, RollIn = 0.0000, NZW = 743221
  278: F1: 92.48, P: 93.50, R: 91.48, RollIn = 0.0000, NZW = 743237
  279: F1: 92.52, P: 93.56, R: 91.50, RollIn = 0.0000, NZW = 743274
  280: F1: 92.50, P: 93.53, R: 91.48, RollIn = 0.0000, NZW = 743297
  281: F1: 92.48, P: 93.50, R: 91.48, RollIn = 0.0000, NZW = 743327
  282: F1: 92.49, P: 93.48, R: 91.52, RollIn = 0.0000, NZW = 743367
  283: F1: 92.47, P: 93.45, R: 91.50, RollIn = 0.0000, NZW = 743449
  284: F1: 92.48, P: 93.48, R: 91.50, RollIn = 0.0000, NZW = 743467
  285: F1: 92.49, P: 93.48, R: 91.52, RollIn = 0.0000, NZW = 743474
  286: F1: 92.45, P: 93.43, R: 91.48, RollIn = 0.0000, NZW = 743502
  287: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0000, NZW = 743521
  288: F1: 92.49, P: 93.48, R: 91.52, RollIn = 0.0000, NZW = 743535
  289: F1: 92.47, P: 93.42, R: 91.53, RollIn = 0.0000, NZW = 743545
  290: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0000, NZW = 743640
  291: F1: 92.44, P: 93.42, R: 91.48, RollIn = 0.0000, NZW = 743706
  292: F1: 92.48, P: 93.45, R: 91.52, RollIn = 0.0000, NZW = 743786
  293: F1: 92.43, P: 93.43, R: 91.45, RollIn = 0.0000, NZW = 743883
  294: F1: 92.41, P: 93.40, R: 91.43, RollIn = 0.0000, NZW = 743933
  295: F1: 92.41, P: 93.40, R: 91.43, RollIn = 0.0000, NZW = 743956
  296: F1: 92.41, P: 93.41, R: 91.43, RollIn = 0.0000, NZW = 743991
  297: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0000, NZW = 744138
  298: F1: 92.44, P: 93.45, R: 91.45, RollIn = 0.0000, NZW = 744158
  299: F1: 92.40, P: 93.40, R: 91.42, RollIn = 0.0000, NZW = 744290
  300: F1: 92.41, P: 93.43, R: 91.42, RollIn = 0.0000, NZW = 744338
 Best: 92.97, epoch: 24, nzw: 680398
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 30:42.305s
[INFO] Finished at: Thu Nov 12 10:57:12 UTC 2015
