[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
  133: F1: 92.27, P: 93.50, R: 91.06, RollIn = 0.0011, NZW = 760991
  134: F1: 92.22, P: 93.45, R: 91.01, RollIn = 0.0010, NZW = 761433
  135: F1: 92.26, P: 93.52, R: 91.03, RollIn = 0.0010, NZW = 760690
  136: F1: 92.25, P: 93.49, R: 91.05, RollIn = 0.0009, NZW = 760417
  137: F1: 92.26, P: 93.49, R: 91.06, RollIn = 0.0009, NZW = 760233
  138: F1: 92.24, P: 93.47, R: 91.05, RollIn = 0.0008, NZW = 758563
  139: F1: 92.25, P: 93.49, R: 91.05, RollIn = 0.0008, NZW = 758616
  140: F1: 92.23, P: 93.48, R: 91.01, RollIn = 0.0008, NZW = 757750
  141: F1: 92.29, P: 93.54, R: 91.08, RollIn = 0.0007, NZW = 757446
  142: F1: 92.27, P: 93.52, R: 91.06, RollIn = 0.0007, NZW = 757393
  143: F1: 92.28, P: 93.52, R: 91.08, RollIn = 0.0007, NZW = 755985
  144: F1: 92.32, P: 93.54, R: 91.13, RollIn = 0.0006, NZW = 756532
  145: F1: 92.29, P: 93.52, R: 91.10, RollIn = 0.0006, NZW = 755345
  146: F1: 92.33, P: 93.57, R: 91.11, RollIn = 0.0006, NZW = 755444
  147: F1: 92.31, P: 93.55, R: 91.10, RollIn = 0.0005, NZW = 755355
  148: F1: 92.35, P: 93.57, R: 91.16, RollIn = 0.0005, NZW = 754341
  149: F1: 92.38, P: 93.59, R: 91.20, RollIn = 0.0005, NZW = 755158
  150: F1: 92.37, P: 93.58, R: 91.20, RollIn = 0.0005, NZW = 753706
  151: F1: 92.35, P: 93.59, R: 91.15, RollIn = 0.0004, NZW = 753862
