[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   90: F1: 92.82, P: 93.80, R: 91.87, RollIn = 0.0099, NZW = 471236
   91: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0094, NZW = 471238
   92: F1: 92.80, P: 93.76, R: 91.85, RollIn = 0.0089, NZW = 471251
   93: F1: 92.88, P: 93.85, R: 91.92, RollIn = 0.0085, NZW = 470762
   94: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0081, NZW = 468986
   95: F1: 92.84, P: 93.80, R: 91.91, RollIn = 0.0077, NZW = 468809
   96: F1: 92.88, P: 93.85, R: 91.92, RollIn = 0.0073, NZW = 468760
   97: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0069, NZW = 468723
   98: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0066, NZW = 467734
   99: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0062, NZW = 465974
  100: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0059, NZW = 465152
  101: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0056, NZW = 465204
  102: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0053, NZW = 464898
  103: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0051, NZW = 464258
  104: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0048, NZW = 462717
  105: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0046, NZW = 462111
  106: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0044, NZW = 462027
  107: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0041, NZW = 461924
  108: F1: 92.65, P: 93.55, R: 91.77, RollIn = 0.0039, NZW = 460960
  109: F1: 92.62, P: 93.47, R: 91.79, RollIn = 0.0037, NZW = 460009
  110: F1: 92.64, P: 93.52, R: 91.77, RollIn = 0.0035, NZW = 459478
  111: F1: 92.66, P: 93.55, R: 91.79, RollIn = 0.0034, NZW = 459409
  112: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0032, NZW = 459287
  113: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0030, NZW = 457918
  114: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0029, NZW = 456946
  115: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0027, NZW = 456559
  116: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.0026, NZW = 456078
  117: F1: 92.61, P: 93.51, R: 91.72, RollIn = 0.0025, NZW = 455941
  118: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.0024, NZW = 454790
  119: F1: 92.65, P: 93.56, R: 91.75, RollIn = 0.0022, NZW = 453929
  120: F1: 92.67, P: 93.57, R: 91.79, RollIn = 0.0021, NZW = 453497
  121: F1: 92.70, P: 93.59, R: 91.84, RollIn = 0.0020, NZW = 453524
  122: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0019, NZW = 453619
  123: F1: 92.65, P: 93.56, R: 91.75, RollIn = 0.0018, NZW = 452222
  124: F1: 92.64, P: 93.53, R: 91.77, RollIn = 0.0017, NZW = 451274
  125: F1: 92.64, P: 93.53, R: 91.77, RollIn = 0.0016, NZW = 450989
  126: F1: 92.59, P: 93.48, R: 91.72, RollIn = 0.0016, NZW = 450996
  127: F1: 92.61, P: 93.50, R: 91.74, RollIn = 0.0015, NZW = 451052
  128: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0014, NZW = 449093
  129: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0013, NZW = 448259
  130: F1: 92.65, P: 93.55, R: 91.77, RollIn = 0.0013, NZW = 448074
  131: F1: 92.63, P: 93.53, R: 91.75, RollIn = 0.0012, NZW = 448288
  132: F1: 92.58, P: 93.45, R: 91.72, RollIn = 0.0011, NZW = 448516
  133: F1: 92.58, P: 93.45, R: 91.72, RollIn = 0.0011, NZW = 446843
  134: F1: 92.58, P: 93.48, R: 91.70, RollIn = 0.0010, NZW = 446360
  135: F1: 92.60, P: 93.48, R: 91.74, RollIn = 0.0010, NZW = 446239
  136: F1: 92.62, P: 93.52, R: 91.74, RollIn = 0.0009, NZW = 446030
  137: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0009, NZW = 445818
  138: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0008, NZW = 444261
  139: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0008, NZW = 444050
  140: F1: 92.58, P: 93.51, R: 91.67, RollIn = 0.0008, NZW = 444115
  141: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0007, NZW = 443829
  142: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0007, NZW = 443483
  143: F1: 92.63, P: 93.58, R: 91.70, RollIn = 0.0007, NZW = 442206
  144: F1: 92.60, P: 93.50, R: 91.72, RollIn = 0.0006, NZW = 441644
  145: F1: 92.57, P: 93.49, R: 91.67, RollIn = 0.0006, NZW = 441438
  146: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0006, NZW = 441575
  147: F1: 92.61, P: 93.53, R: 91.70, RollIn = 0.0005, NZW = 441029
  148: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.0005, NZW = 440183
  149: F1: 92.64, P: 93.55, R: 91.75, RollIn = 0.0005, NZW = 439652
  150: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0005, NZW = 439325
  151: F1: 92.59, P: 93.50, R: 91.70, RollIn = 0.0004, NZW = 439155
  152: F1: 92.61, P: 93.53, R: 91.70, RollIn = 0.0004, NZW = 438466
  153: F1: 92.58, P: 93.47, R: 91.72, RollIn = 0.0004, NZW = 437631
  154: F1: 92.60, P: 93.50, R: 91.72, RollIn = 0.0004, NZW = 437261
  155: F1: 92.59, P: 93.48, R: 91.72, RollIn = 0.0004, NZW = 437112
  156: F1: 92.62, P: 93.52, R: 91.74, RollIn = 0.0003, NZW = 436966
  157: F1: 92.61, P: 93.51, R: 91.72, RollIn = 0.0003, NZW = 436224
  158: F1: 92.61, P: 93.53, R: 91.70, RollIn = 0.0003, NZW = 435595
  159: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0003, NZW = 435285
  160: F1: 92.61, P: 93.53, R: 91.70, RollIn = 0.0003, NZW = 435155
  161: F1: 92.62, P: 93.53, R: 91.72, RollIn = 0.0003, NZW = 435273
  162: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0002, NZW = 433924
  163: F1: 92.56, P: 93.52, R: 91.62, RollIn = 0.0002, NZW = 433108
  164: F1: 92.55, P: 93.46, R: 91.65, RollIn = 0.0002, NZW = 433049
  165: F1: 92.53, P: 93.46, R: 91.62, RollIn = 0.0002, NZW = 432842
  166: F1: 92.62, P: 93.55, R: 91.72, RollIn = 0.0002, NZW = 432921
  167: F1: 92.57, P: 93.49, R: 91.67, RollIn = 0.0002, NZW = 431721
  168: F1: 92.57, P: 93.51, R: 91.65, RollIn = 0.0002, NZW = 430976
  169: F1: 92.54, P: 93.46, R: 91.64, RollIn = 0.0002, NZW = 430983
  170: F1: 92.53, P: 93.44, R: 91.64, RollIn = 0.0002, NZW = 430788
  171: F1: 92.57, P: 93.48, R: 91.69, RollIn = 0.0002, NZW = 430720
  172: F1: 92.54, P: 93.45, R: 91.65, RollIn = 0.0001, NZW = 429276
  173: F1: 92.59, P: 93.53, R: 91.67, RollIn = 0.0001, NZW = 428782
  174: F1: 92.59, P: 93.50, R: 91.70, RollIn = 0.0001, NZW = 428472
  175: F1: 92.58, P: 93.46, R: 91.70, RollIn = 0.0001, NZW = 428336
  176: F1: 92.54, P: 93.43, R: 91.67, RollIn = 0.0001, NZW = 428452
  177: F1: 92.52, P: 93.41, R: 91.65, RollIn = 0.0001, NZW = 426978
  178: F1: 92.54, P: 93.40, R: 91.69, RollIn = 0.0001, NZW = 426883
  179: F1: 92.56, P: 93.43, R: 91.70, RollIn = 0.0001, NZW = 426532
  180: F1: 92.54, P: 93.42, R: 91.69, RollIn = 0.0001, NZW = 426756
  181: F1: 92.53, P: 93.41, R: 91.67, RollIn = 0.0001, NZW = 426510
  182: F1: 92.54, P: 93.43, R: 91.67, RollIn = 0.0001, NZW = 425293
  183: F1: 92.55, P: 93.45, R: 91.67, RollIn = 0.0001, NZW = 425178
  184: F1: 92.54, P: 93.45, R: 91.65, RollIn = 0.0001, NZW = 424927
  185: F1: 92.56, P: 93.45, R: 91.69, RollIn = 0.0001, NZW = 424981
  186: F1: 92.53, P: 93.41, R: 91.67, RollIn = 0.0001, NZW = 424512
  187: F1: 92.58, P: 93.48, R: 91.70, RollIn = 0.0001, NZW = 423650
  188: F1: 92.59, P: 93.48, R: 91.72, RollIn = 0.0001, NZW = 423445
  189: F1: 92.53, P: 93.43, R: 91.65, RollIn = 0.0001, NZW = 423297
  190: F1: 92.55, P: 93.49, R: 91.64, RollIn = 0.0001, NZW = 423064
  191: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0001, NZW = 422490
