[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   87: F1: 77.04, P: 90.47, R: 67.08, RollIn = 0.0115, NZW = 452647
   88: F1: 77.06, P: 90.43, R: 67.13, RollIn = 0.0110, NZW = 452802
   89: F1: 77.17, P: 90.45, R: 67.28, RollIn = 0.0104, NZW = 451793
   90: F1: 77.25, P: 90.47, R: 67.40, RollIn = 0.0099, NZW = 451804
   91: F1: 77.27, P: 90.41, R: 67.47, RollIn = 0.0094, NZW = 451978
   92: F1: 77.31, P: 90.42, R: 67.52, RollIn = 0.0089, NZW = 452180
   93: F1: 77.37, P: 90.41, R: 67.62, RollIn = 0.0085, NZW = 452153
   94: F1: 77.42, P: 90.46, R: 67.67, RollIn = 0.0081, NZW = 451373
   95: F1: 77.47, P: 90.43, R: 67.75, RollIn = 0.0077, NZW = 451451
   96: F1: 77.48, P: 90.45, R: 67.75, RollIn = 0.0073, NZW = 451565
   97: F1: 77.52, P: 90.40, R: 67.86, RollIn = 0.0069, NZW = 451640
   98: F1: 77.54, P: 90.41, R: 67.87, RollIn = 0.0066, NZW = 451540
   99: F1: 77.55, P: 90.39, R: 67.91, RollIn = 0.0062, NZW = 450906
  100: F1: 77.61, P: 90.46, R: 67.96, RollIn = 0.0059, NZW = 450959
  101: F1: 77.65, P: 90.50, R: 67.99, RollIn = 0.0056, NZW = 451062
  102: F1: 77.69, P: 90.51, R: 68.06, RollIn = 0.0053, NZW = 451222
  103: F1: 77.72, P: 90.51, R: 68.09, RollIn = 0.0051, NZW = 450924
  104: F1: 77.75, P: 90.54, R: 68.13, RollIn = 0.0048, NZW = 450412
  105: F1: 77.76, P: 90.54, R: 68.14, RollIn = 0.0046, NZW = 450514
  106: F1: 77.82, P: 90.57, R: 68.21, RollIn = 0.0044, NZW = 450611
  107: F1: 77.89, P: 90.58, R: 68.31, RollIn = 0.0041, NZW = 450807
  108: F1: 77.88, P: 90.54, R: 68.33, RollIn = 0.0039, NZW = 450429
  109: F1: 77.91, P: 90.55, R: 68.36, RollIn = 0.0037, NZW = 450063
  110: F1: 77.97, P: 90.60, R: 68.43, RollIn = 0.0035, NZW = 450084
  111: F1: 78.02, P: 90.63, R: 68.50, RollIn = 0.0034, NZW = 450173
  112: F1: 78.03, P: 90.61, R: 68.51, RollIn = 0.0032, NZW = 450362
  113: F1: 78.12, P: 90.62, R: 68.65, RollIn = 0.0030, NZW = 449980
  114: F1: 78.15, P: 90.63, R: 68.70, RollIn = 0.0029, NZW = 449842
  115: F1: 78.12, P: 90.61, R: 68.66, RollIn = 0.0027, NZW = 449921
  116: F1: 78.13, P: 90.59, R: 68.68, RollIn = 0.0026, NZW = 450004
  117: F1: 78.12, P: 90.55, R: 68.70, RollIn = 0.0025, NZW = 450150
  118: F1: 78.23, P: 90.63, R: 68.82, RollIn = 0.0024, NZW = 449627
  119: F1: 78.21, P: 90.62, R: 68.78, RollIn = 0.0022, NZW = 449409
  120: F1: 78.27, P: 90.65, R: 68.87, RollIn = 0.0021, NZW = 449492
  121: F1: 78.30, P: 90.64, R: 68.92, RollIn = 0.0020, NZW = 449625
  122: F1: 78.28, P: 90.62, R: 68.90, RollIn = 0.0019, NZW = 449734
  123: F1: 78.30, P: 90.58, R: 68.95, RollIn = 0.0018, NZW = 449214
  124: F1: 78.34, P: 90.61, R: 69.00, RollIn = 0.0017, NZW = 449072
  125: F1: 78.35, P: 90.61, R: 69.02, RollIn = 0.0016, NZW = 449150
  126: F1: 78.36, P: 90.59, R: 69.03, RollIn = 0.0016, NZW = 449242
  127: F1: 78.40, P: 90.66, R: 69.07, RollIn = 0.0015, NZW = 449363
  128: F1: 78.41, P: 90.62, R: 69.10, RollIn = 0.0014, NZW = 448757
  129: F1: 78.42, P: 90.62, R: 69.12, RollIn = 0.0013, NZW = 448864
  130: F1: 78.47, P: 90.65, R: 69.17, RollIn = 0.0013, NZW = 448940
  131: F1: 78.40, P: 90.56, R: 69.12, RollIn = 0.0012, NZW = 449031
  132: F1: 78.48, P: 90.65, R: 69.19, RollIn = 0.0011, NZW = 449149
  133: F1: 78.48, P: 90.61, R: 69.22, RollIn = 0.0011, NZW = 448499
  134: F1: 78.51, P: 90.62, R: 69.25, RollIn = 0.0010, NZW = 448563
  135: F1: 78.58, P: 90.67, R: 69.34, RollIn = 0.0010, NZW = 448611
  136: F1: 78.59, P: 90.67, R: 69.35, RollIn = 0.0009, NZW = 448738
  137: F1: 78.60, P: 90.67, R: 69.37, RollIn = 0.0009, NZW = 448775
  138: F1: 78.62, P: 90.68, R: 69.39, RollIn = 0.0008, NZW = 448259
  139: F1: 78.57, P: 90.59, R: 69.37, RollIn = 0.0008, NZW = 448251
  140: F1: 78.63, P: 90.66, R: 69.42, RollIn = 0.0008, NZW = 448341
  141: F1: 78.67, P: 90.69, R: 69.47, RollIn = 0.0007, NZW = 448420
  142: F1: 78.69, P: 90.65, R: 69.52, RollIn = 0.0007, NZW = 448315
  143: F1: 78.62, P: 90.56, R: 69.45, RollIn = 0.0007, NZW = 447959
  144: F1: 78.70, P: 90.67, R: 69.52, RollIn = 0.0006, NZW = 448032
  145: F1: 78.72, P: 90.66, R: 69.56, RollIn = 0.0006, NZW = 448122
  146: F1: 78.74, P: 90.66, R: 69.59, RollIn = 0.0006, NZW = 448220
  147: F1: 78.76, P: 90.66, R: 69.62, RollIn = 0.0005, NZW = 448077
  148: F1: 78.78, P: 90.65, R: 69.66, RollIn = 0.0005, NZW = 447778
  149: F1: 78.80, P: 90.69, R: 69.67, RollIn = 0.0005, NZW = 447856
  150: F1: 78.80, P: 90.69, R: 69.67, RollIn = 0.0005, NZW = 447955
  151: F1: 78.81, P: 90.67, R: 69.69, RollIn = 0.0004, NZW = 448057
  152: F1: 78.85, P: 90.70, R: 69.74, RollIn = 0.0004, NZW = 447835
  153: F1: 78.87, P: 90.70, R: 69.77, RollIn = 0.0004, NZW = 447670
  154: F1: 78.89, P: 90.69, R: 69.81, RollIn = 0.0004, NZW = 447681
  155: F1: 78.90, P: 90.71, R: 69.81, RollIn = 0.0004, NZW = 447724
  156: F1: 78.95, P: 90.70, R: 69.89, RollIn = 0.0003, NZW = 447810
  157: F1: 78.96, P: 90.70, R: 69.91, RollIn = 0.0003, NZW = 447559
  158: F1: 78.96, P: 90.68, R: 69.93, RollIn = 0.0003, NZW = 447412
  159: F1: 78.99, P: 90.68, R: 69.96, RollIn = 0.0003, NZW = 447506
  160: F1: 79.02, P: 90.69, R: 70.01, RollIn = 0.0003, NZW = 447541
  161: F1: 79.03, P: 90.69, R: 70.03, RollIn = 0.0003, NZW = 447644
  162: F1: 79.04, P: 90.70, R: 70.04, RollIn = 0.0002, NZW = 447313
  163: F1: 79.04, P: 90.68, R: 70.04, RollIn = 0.0002, NZW = 447221
  164: F1: 79.04, P: 90.68, R: 70.04, RollIn = 0.0002, NZW = 447282
  165: F1: 79.03, P: 90.66, R: 70.04, RollIn = 0.0002, NZW = 447344
  166: F1: 79.05, P: 90.68, R: 70.06, RollIn = 0.0002, NZW = 447382
  167: F1: 79.06, P: 90.68, R: 70.08, RollIn = 0.0002, NZW = 447023
  168: F1: 79.10, P: 90.69, R: 70.14, RollIn = 0.0002, NZW = 446961
  169: F1: 79.09, P: 90.67, R: 70.13, RollIn = 0.0002, NZW = 446993
  170: F1: 79.10, P: 90.67, R: 70.14, RollIn = 0.0002, NZW = 447099
  171: F1: 79.11, P: 90.65, R: 70.18, RollIn = 0.0002, NZW = 447210
  172: F1: 79.09, P: 90.59, R: 70.18, RollIn = 0.0001, NZW = 446782
  173: F1: 79.11, P: 90.60, R: 70.21, RollIn = 0.0001, NZW = 446802
  174: F1: 79.12, P: 90.62, R: 70.21, RollIn = 0.0001, NZW = 446861
  175: F1: 79.15, P: 90.64, R: 70.25, RollIn = 0.0001, NZW = 446864
  176: F1: 79.17, P: 90.63, R: 70.28, RollIn = 0.0001, NZW = 446837
  177: F1: 79.17, P: 90.61, R: 70.30, RollIn = 0.0001, NZW = 446416
  178: F1: 79.18, P: 90.63, R: 70.30, RollIn = 0.0001, NZW = 446515
  179: F1: 79.20, P: 90.65, R: 70.31, RollIn = 0.0001, NZW = 446578
  180: F1: 79.23, P: 90.65, R: 70.36, RollIn = 0.0001, NZW = 446675
  181: F1: 79.28, P: 90.66, R: 70.43, RollIn = 0.0001, NZW = 446718
  182: F1: 79.30, P: 90.65, R: 70.48, RollIn = 0.0001, NZW = 446368
  183: F1: 79.32, P: 90.67, R: 70.50, RollIn = 0.0001, NZW = 446416
  184: F1: 79.32, P: 90.67, R: 70.50, RollIn = 0.0001, NZW = 446438
  185: F1: 79.33, P: 90.67, R: 70.51, RollIn = 0.0001, NZW = 446472
  186: F1: 79.33, P: 90.67, R: 70.51, RollIn = 0.0001, NZW = 446463
  187: F1: 79.35, P: 90.66, R: 70.55, RollIn = 0.0001, NZW = 446183
  188: F1: 79.36, P: 90.66, R: 70.57, RollIn = 0.0001, NZW = 446272
  189: F1: 79.34, P: 90.64, R: 70.55, RollIn = 0.0001, NZW = 446360
  190: F1: 79.34, P: 90.64, R: 70.55, RollIn = 0.0001, NZW = 446401
  191: F1: 79.32, P: 90.62, R: 70.53, RollIn = 0.0001, NZW = 446264
  192: F1: 79.33, P: 90.62, R: 70.55, RollIn = 0.0001, NZW = 446018
  193: F1: 79.36, P: 90.62, R: 70.58, RollIn = 0.0001, NZW = 446125
  194: F1: 79.40, P: 90.63, R: 70.65, RollIn = 0.0000, NZW = 446204
  195: F1: 79.43, P: 90.65, R: 70.68, RollIn = 0.0000, NZW = 446236
  196: F1: 79.46, P: 90.70, R: 70.70, RollIn = 0.0000, NZW = 446072
  197: F1: 79.46, P: 90.68, R: 70.72, RollIn = 0.0000, NZW = 445920
  198: F1: 79.49, P: 90.70, R: 70.75, RollIn = 0.0000, NZW = 445938
  199: F1: 79.49, P: 90.70, R: 70.75, RollIn = 0.0000, NZW = 445959
  200: F1: 79.52, P: 90.72, R: 70.78, RollIn = 0.0000, NZW = 446028
  201: F1: 79.52, P: 90.71, R: 70.78, RollIn = 0.0000, NZW = 445829
  202: F1: 79.57, P: 90.75, R: 70.83, RollIn = 0.0000, NZW = 445709
  203: F1: 79.58, P: 90.79, R: 70.83, RollIn = 0.0000, NZW = 445755
  204: F1: 79.55, P: 90.75, R: 70.82, RollIn = 0.0000, NZW = 445868
  205: F1: 79.60, P: 90.79, R: 70.87, RollIn = 0.0000, NZW = 445938
  206: F1: 79.59, P: 90.75, R: 70.87, RollIn = 0.0000, NZW = 445683
  207: F1: 79.61, P: 90.74, R: 70.92, RollIn = 0.0000, NZW = 445621
  208: F1: 79.65, P: 90.78, R: 70.95, RollIn = 0.0000, NZW = 445662
  209: F1: 79.66, P: 90.79, R: 70.97, RollIn = 0.0000, NZW = 445740
  210: F1: 79.69, P: 90.79, R: 71.00, RollIn = 0.0000, NZW = 445850
  211: F1: 79.69, P: 90.79, R: 71.00, RollIn = 0.0000, NZW = 445576
  212: F1: 79.70, P: 90.77, R: 71.04, RollIn = 0.0000, NZW = 445479
  213: F1: 79.69, P: 90.75, R: 71.04, RollIn = 0.0000, NZW = 445477
  214: F1: 79.71, P: 90.76, R: 71.05, RollIn = 0.0000, NZW = 445504
  215: F1: 79.71, P: 90.78, R: 71.05, RollIn = 0.0000, NZW = 445596
  216: F1: 79.72, P: 90.78, R: 71.07, RollIn = 0.0000, NZW = 445301
  217: F1: 79.71, P: 90.70, R: 71.09, RollIn = 0.0000, NZW = 445277
  218: F1: 79.77, P: 90.75, R: 71.15, RollIn = 0.0000, NZW = 445323
  219: F1: 79.74, P: 90.71, R: 71.14, RollIn = 0.0000, NZW = 445348
  220: F1: 79.77, P: 90.71, R: 71.19, RollIn = 0.0000, NZW = 445434
  221: F1: 79.77, P: 90.71, R: 71.19, RollIn = 0.0000, NZW = 445067
  222: F1: 79.77, P: 90.73, R: 71.17, RollIn = 0.0000, NZW = 445098
  223: F1: 79.79, P: 90.74, R: 71.20, RollIn = 0.0000, NZW = 445129
  224: F1: 79.80, P: 90.74, R: 71.22, RollIn = 0.0000, NZW = 445191
  225: F1: 79.80, P: 90.74, R: 71.22, RollIn = 0.0000, NZW = 445210
  226: F1: 79.82, P: 90.76, R: 71.24, RollIn = 0.0000, NZW = 444918
  227: F1: 79.90, P: 90.79, R: 71.34, RollIn = 0.0000, NZW = 444923
  228: F1: 79.92, P: 90.79, R: 71.37, RollIn = 0.0000, NZW = 444959
  229: F1: 79.92, P: 90.81, R: 71.36, RollIn = 0.0000, NZW = 445029
  230: F1: 79.96, P: 90.82, R: 71.42, RollIn = 0.0000, NZW = 444992
  231: F1: 79.95, P: 90.80, R: 71.42, RollIn = 0.0000, NZW = 444715
  232: F1: 79.94, P: 90.80, R: 71.41, RollIn = 0.0000, NZW = 444763
  233: F1: 79.94, P: 90.80, R: 71.41, RollIn = 0.0000, NZW = 444846
  234: F1: 79.93, P: 90.80, R: 71.39, RollIn = 0.0000, NZW = 444883
  235: F1: 79.94, P: 90.80, R: 71.41, RollIn = 0.0000, NZW = 444758
  236: F1: 79.95, P: 90.78, R: 71.42, RollIn = 0.0000, NZW = 444564
  237: F1: 79.99, P: 90.79, R: 71.49, RollIn = 0.0000, NZW = 444644
  238: F1: 80.13, P: 90.81, R: 71.69, RollIn = 0.0000, NZW = 444632
  239: F1: 80.18, P: 90.84, R: 71.76, RollIn = 0.0000, NZW = 444667
  240: F1: 80.17, P: 90.87, R: 71.73, RollIn = 0.0000, NZW = 444506
  241: F1: 80.20, P: 90.88, R: 71.76, RollIn = 0.0000, NZW = 444359
  242: F1: 80.20, P: 90.88, R: 71.76, RollIn = 0.0000, NZW = 444449
  243: F1: 80.23, P: 90.90, R: 71.79, RollIn = 0.0000, NZW = 444537
  244: F1: 80.19, P: 90.84, R: 71.78, RollIn = 0.0000, NZW = 444581
  245: F1: 80.19, P: 90.84, R: 71.78, RollIn = 0.0000, NZW = 444395
