[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   93: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0085, NZW = 582631
   94: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0081, NZW = 580013
   95: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0077, NZW = 579192
   96: F1: 92.77, P: 93.68, R: 91.87, RollIn = 0.0073, NZW = 578798
   97: F1: 92.77, P: 93.65, R: 91.91, RollIn = 0.0069, NZW = 578693
   98: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0066, NZW = 577853
   99: F1: 92.80, P: 93.69, R: 91.92, RollIn = 0.0062, NZW = 575918
  100: F1: 92.86, P: 93.82, R: 91.92, RollIn = 0.0059, NZW = 575499
  101: F1: 92.79, P: 93.76, R: 91.84, RollIn = 0.0056, NZW = 575143
  102: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0053, NZW = 575367
  103: F1: 92.89, P: 93.87, R: 91.94, RollIn = 0.0051, NZW = 574003
  104: F1: 92.85, P: 93.82, R: 91.91, RollIn = 0.0048, NZW = 572322
  105: F1: 92.87, P: 93.86, R: 91.91, RollIn = 0.0046, NZW = 571721
  106: F1: 92.87, P: 93.82, R: 91.94, RollIn = 0.0044, NZW = 571475
  107: F1: 92.90, P: 93.84, R: 91.99, RollIn = 0.0041, NZW = 571578
  108: F1: 92.84, P: 93.81, R: 91.89, RollIn = 0.0039, NZW = 569703
  109: F1: 92.83, P: 93.80, R: 91.89, RollIn = 0.0037, NZW = 568267
  110: F1: 92.83, P: 93.77, R: 91.91, RollIn = 0.0035, NZW = 567720
  111: F1: 92.84, P: 93.81, R: 91.89, RollIn = 0.0034, NZW = 567522
  112: F1: 92.84, P: 93.80, R: 91.91, RollIn = 0.0032, NZW = 567510
  113: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0030, NZW = 565598
  114: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0029, NZW = 564197
  115: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0027, NZW = 563411
  116: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0026, NZW = 563137
  117: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0025, NZW = 563044
  118: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0024, NZW = 561013
  119: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0022, NZW = 560173
  120: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0021, NZW = 560031
  121: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0020, NZW = 559810
  122: F1: 92.68, P: 93.69, R: 91.69, RollIn = 0.0019, NZW = 559066
  123: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0018, NZW = 557233
  124: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0017, NZW = 556044
  125: F1: 92.75, P: 93.74, R: 91.77, RollIn = 0.0016, NZW = 555745
  126: F1: 92.74, P: 93.74, R: 91.75, RollIn = 0.0016, NZW = 555541
  127: F1: 92.81, P: 93.83, R: 91.82, RollIn = 0.0015, NZW = 555627
  128: F1: 92.78, P: 93.79, R: 91.79, RollIn = 0.0014, NZW = 553867
  129: F1: 92.79, P: 93.81, R: 91.79, RollIn = 0.0013, NZW = 553324
  130: F1: 92.70, P: 93.68, R: 91.74, RollIn = 0.0013, NZW = 553006
  131: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0012, NZW = 552877
  132: F1: 92.72, P: 93.71, R: 91.75, RollIn = 0.0011, NZW = 552516
  133: F1: 92.71, P: 93.71, R: 91.74, RollIn = 0.0011, NZW = 550475
  134: F1: 92.66, P: 93.66, R: 91.69, RollIn = 0.0010, NZW = 549821
  135: F1: 92.69, P: 93.67, R: 91.72, RollIn = 0.0010, NZW = 549587
  136: F1: 92.73, P: 93.74, R: 91.74, RollIn = 0.0009, NZW = 549599
  137: F1: 92.65, P: 93.67, R: 91.65, RollIn = 0.0009, NZW = 548978
  138: F1: 92.68, P: 93.69, R: 91.69, RollIn = 0.0008, NZW = 547156
  139: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0008, NZW = 547350
  140: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0008, NZW = 546888
  141: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0007, NZW = 546762
  142: F1: 92.61, P: 93.55, R: 91.70, RollIn = 0.0007, NZW = 546386
  143: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0007, NZW = 544941
  144: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0006, NZW = 544481
  145: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0006, NZW = 544274
  146: F1: 92.74, P: 93.76, R: 91.75, RollIn = 0.0006, NZW = 544360
  147: F1: 92.77, P: 93.81, R: 91.75, RollIn = 0.0005, NZW = 543622
  148: F1: 92.77, P: 93.78, R: 91.79, RollIn = 0.0005, NZW = 542206
  149: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0005, NZW = 541835
  150: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0005, NZW = 541990
  151: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0004, NZW = 541745
  152: F1: 92.75, P: 93.73, R: 91.79, RollIn = 0.0004, NZW = 540405
  153: F1: 92.72, P: 93.71, R: 91.75, RollIn = 0.0004, NZW = 539214
  154: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0004, NZW = 538793
  155: F1: 92.67, P: 93.63, R: 91.74, RollIn = 0.0004, NZW = 538675
  156: F1: 92.80, P: 93.76, R: 91.85, RollIn = 0.0003, NZW = 538664
  157: F1: 92.74, P: 93.73, R: 91.77, RollIn = 0.0003, NZW = 537316
  158: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0003, NZW = 536123
  159: F1: 92.68, P: 93.67, R: 91.70, RollIn = 0.0003, NZW = 535711
  160: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0003, NZW = 535575
  161: F1: 92.67, P: 93.66, R: 91.70, RollIn = 0.0003, NZW = 535488
