[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 2.0E-6, bias = 0.0, batch = 5
  146: F1: 92.67, P: 93.64, R: 91.72, RollIn = 0.0006, NZW = 401668
  147: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0005, NZW = 401651
  148: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0005, NZW = 400906
  149: F1: 92.61, P: 93.56, R: 91.69, RollIn = 0.0005, NZW = 401409
  150: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0005, NZW = 399858
  151: F1: 92.73, P: 93.71, R: 91.77, RollIn = 0.0004, NZW = 400075
  152: F1: 92.70, P: 93.68, R: 91.74, RollIn = 0.0004, NZW = 399750
  153: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0004, NZW = 399218
  154: F1: 92.68, P: 93.66, R: 91.72, RollIn = 0.0004, NZW = 400023
  155: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0004, NZW = 398704
  156: F1: 92.80, P: 93.73, R: 91.89, RollIn = 0.0003, NZW = 399352
  157: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.0003, NZW = 398110
  158: F1: 92.82, P: 93.77, R: 91.89, RollIn = 0.0003, NZW = 397692
  159: F1: 92.84, P: 93.77, R: 91.92, RollIn = 0.0003, NZW = 398024
  160: F1: 92.86, P: 93.80, R: 91.94, RollIn = 0.0003, NZW = 396431
  161: F1: 92.88, P: 93.83, R: 91.94, RollIn = 0.0003, NZW = 396778
  162: F1: 92.82, P: 93.77, R: 91.89, RollIn = 0.0002, NZW = 395788
  163: F1: 92.82, P: 93.77, R: 91.89, RollIn = 0.0002, NZW = 395744
  164: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0002, NZW = 395519
  165: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.0002, NZW = 394579
