[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, bias = 0.5, batch = 5
   97: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0069, NZW = 896094
   98: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0066, NZW = 896522
   99: F1: 92.74, P: 93.61, R: 91.89, RollIn = 0.0062, NZW = 896743
  100: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0059, NZW = 897180
  101: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0056, NZW = 897512
  102: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0053, NZW = 897927
  103: F1: 92.74, P: 93.61, R: 91.89, RollIn = 0.0051, NZW = 898192
  104: F1: 92.70, P: 93.56, R: 91.85, RollIn = 0.0048, NZW = 898513
  105: F1: 92.70, P: 93.56, R: 91.85, RollIn = 0.0046, NZW = 898738
  106: F1: 92.70, P: 93.56, R: 91.85, RollIn = 0.0044, NZW = 899025
  107: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0041, NZW = 899335
  108: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0039, NZW = 899722
  109: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0037, NZW = 899987
  110: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0035, NZW = 900164
  111: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0034, NZW = 900435
  112: F1: 92.74, P: 93.61, R: 91.89, RollIn = 0.0032, NZW = 900625
  113: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0030, NZW = 900819
  114: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0029, NZW = 901086
  115: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0027, NZW = 901188
  116: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0026, NZW = 901495
  117: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0025, NZW = 901647
  118: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0024, NZW = 901882
  119: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0022, NZW = 902244
  120: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0021, NZW = 902379
  121: F1: 92.70, P: 93.57, R: 91.85, RollIn = 0.0020, NZW = 902610
  122: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0019, NZW = 902866
  123: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0018, NZW = 903028
  124: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0017, NZW = 903201
  125: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0016, NZW = 903426
  126: F1: 92.70, P: 93.59, R: 91.84, RollIn = 0.0016, NZW = 903643
  127: F1: 92.68, P: 93.55, R: 91.82, RollIn = 0.0015, NZW = 903813
  128: F1: 92.73, P: 93.62, R: 91.85, RollIn = 0.0014, NZW = 904010
  129: F1: 92.70, P: 93.57, R: 91.84, RollIn = 0.0013, NZW = 904144
  130: F1: 92.72, P: 93.60, R: 91.85, RollIn = 0.0013, NZW = 904401
  131: F1: 92.73, P: 93.62, R: 91.85, RollIn = 0.0012, NZW = 904651
  132: F1: 92.72, P: 93.60, R: 91.85, RollIn = 0.0011, NZW = 904789
  133: F1: 92.72, P: 93.60, R: 91.85, RollIn = 0.0011, NZW = 904947
  134: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0010, NZW = 905178
  135: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0010, NZW = 905327
  136: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0009, NZW = 905491
  137: F1: 92.73, P: 93.60, R: 91.87, RollIn = 0.0009, NZW = 905634
  138: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0008, NZW = 905747
  139: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0008, NZW = 905893
  140: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0008, NZW = 906032
  141: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0007, NZW = 906111
  142: F1: 92.70, P: 93.59, R: 91.84, RollIn = 0.0007, NZW = 906206
  143: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.0007, NZW = 906349
  144: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0006, NZW = 906548
  145: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0006, NZW = 906750
  146: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0006, NZW = 906916
  147: F1: 92.67, P: 93.55, R: 91.80, RollIn = 0.0005, NZW = 907000
  148: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0005, NZW = 907108
  149: F1: 92.66, P: 93.55, R: 91.79, RollIn = 0.0005, NZW = 907235
  150: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0005, NZW = 907443
  151: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0004, NZW = 907527
  152: F1: 92.63, P: 93.53, R: 91.75, RollIn = 0.0004, NZW = 907605
  153: F1: 92.66, P: 93.55, R: 91.79, RollIn = 0.0004, NZW = 907725
  154: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0004, NZW = 907891
  155: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0004, NZW = 908052
  156: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0003, NZW = 908199
  157: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0003, NZW = 908317
  158: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0003, NZW = 908564
  159: F1: 92.65, P: 93.56, R: 91.75, RollIn = 0.0003, NZW = 908651
  160: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0003, NZW = 908770
  161: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0003, NZW = 908857
  162: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0002, NZW = 909024
  163: F1: 92.67, P: 93.58, R: 91.77, RollIn = 0.0002, NZW = 909153
  164: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0002, NZW = 909248
  165: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0002, NZW = 909347
  166: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0002, NZW = 909431
  167: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0002, NZW = 909540
  168: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0002, NZW = 909636
  169: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0002, NZW = 909774
  170: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0002, NZW = 909844
  171: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0002, NZW = 909943
  172: F1: 92.74, P: 93.64, R: 91.85, RollIn = 0.0001, NZW = 910091
  173: F1: 92.74, P: 93.64, R: 91.85, RollIn = 0.0001, NZW = 910225
  174: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0001, NZW = 910485
  175: F1: 92.74, P: 93.64, R: 91.85, RollIn = 0.0001, NZW = 910552
  176: F1: 92.71, P: 93.60, R: 91.84, RollIn = 0.0001, NZW = 910669
  177: F1: 92.70, P: 93.59, R: 91.84, RollIn = 0.0001, NZW = 910810
  178: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0001, NZW = 910943
  179: F1: 92.69, P: 93.58, R: 91.82, RollIn = 0.0001, NZW = 911057
  180: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0001, NZW = 911130
  181: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0001, NZW = 911208
  182: F1: 92.66, P: 93.55, R: 91.79, RollIn = 0.0001, NZW = 911299
  183: F1: 92.69, P: 93.57, R: 91.82, RollIn = 0.0001, NZW = 911379
  184: F1: 92.64, P: 93.53, R: 91.77, RollIn = 0.0001, NZW = 911442
  185: F1: 92.64, P: 93.52, R: 91.77, RollIn = 0.0001, NZW = 911552
  186: F1: 92.64, P: 93.53, R: 91.77, RollIn = 0.0001, NZW = 911671
  187: F1: 92.65, P: 93.55, R: 91.77, RollIn = 0.0001, NZW = 911779
  188: F1: 92.65, P: 93.53, R: 91.79, RollIn = 0.0001, NZW = 911827
  189: F1: 92.67, P: 93.57, R: 91.79, RollIn = 0.0001, NZW = 911995
  190: F1: 92.65, P: 93.55, R: 91.77, RollIn = 0.0001, NZW = 912116
  191: F1: 92.64, P: 93.55, R: 91.75, RollIn = 0.0001, NZW = 912290
  192: F1: 92.65, P: 93.55, R: 91.77, RollIn = 0.0001, NZW = 912424
  193: F1: 92.65, P: 93.56, R: 91.75, RollIn = 0.0001, NZW = 912498
  194: F1: 92.64, P: 93.55, R: 91.75, RollIn = 0.0000, NZW = 912583
  195: F1: 92.66, P: 93.58, R: 91.75, RollIn = 0.0000, NZW = 912669
  196: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0000, NZW = 912709
  197: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 912804
  198: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0000, NZW = 912872
  199: F1: 92.68, P: 93.60, R: 91.77, RollIn = 0.0000, NZW = 912982
  200: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 913024
  201: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0000, NZW = 913116
  202: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 913211
  203: F1: 92.67, P: 93.58, R: 91.77, RollIn = 0.0000, NZW = 913392
  204: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0000, NZW = 913481
  205: F1: 92.68, P: 93.60, R: 91.77, RollIn = 0.0000, NZW = 913582
  206: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0000, NZW = 913678
  207: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 913760
  208: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 913908
  209: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0000, NZW = 913935
  210: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.0000, NZW = 914058
  211: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0000, NZW = 914083
  212: F1: 92.63, P: 93.56, R: 91.72, RollIn = 0.0000, NZW = 914165
  213: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0000, NZW = 914254
  214: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0000, NZW = 914334
  215: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0000, NZW = 914374
  216: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0000, NZW = 914489
  217: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0000, NZW = 914517
  218: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 914609
  219: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 914625
  220: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 914684
