[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  121: F1: 92.79, P: 93.75, R: 91.85, RollIn = 0.0020, NZW = 528546
  122: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0019, NZW = 528578
  123: F1: 92.82, P: 93.74, R: 91.92, RollIn = 0.0018, NZW = 526697
  124: F1: 92.85, P: 93.80, R: 91.92, RollIn = 0.0017, NZW = 526038
  125: F1: 92.81, P: 93.75, R: 91.89, RollIn = 0.0016, NZW = 525613
  126: F1: 92.81, P: 93.72, R: 91.92, RollIn = 0.0016, NZW = 525553
  127: F1: 92.83, P: 93.75, R: 91.92, RollIn = 0.0015, NZW = 524910
  128: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0014, NZW = 523140
  129: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0013, NZW = 522812
  130: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0013, NZW = 522853
  131: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0012, NZW = 522737
  132: F1: 92.78, P: 93.72, R: 91.87, RollIn = 0.0011, NZW = 522762
  133: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0011, NZW = 520772
  134: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0010, NZW = 520448
  135: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0010, NZW = 520200
  136: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0009, NZW = 519737
  137: F1: 92.77, P: 93.71, R: 91.84, RollIn = 0.0009, NZW = 519520
  138: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0008, NZW = 518144
  139: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0008, NZW = 517655
  140: F1: 92.78, P: 93.72, R: 91.87, RollIn = 0.0008, NZW = 517308
  141: F1: 92.86, P: 93.80, R: 91.94, RollIn = 0.0007, NZW = 517442
  142: F1: 92.84, P: 93.75, R: 91.94, RollIn = 0.0007, NZW = 516793
  143: F1: 92.80, P: 93.69, R: 91.92, RollIn = 0.0007, NZW = 515342
  144: F1: 92.84, P: 93.72, R: 91.97, RollIn = 0.0006, NZW = 515164
  145: F1: 92.81, P: 93.69, R: 91.96, RollIn = 0.0006, NZW = 514806
  146: F1: 92.87, P: 93.74, R: 92.01, RollIn = 0.0006, NZW = 514590
  147: F1: 92.85, P: 93.72, R: 91.99, RollIn = 0.0005, NZW = 513735
  148: F1: 92.87, P: 93.77, R: 91.99, RollIn = 0.0005, NZW = 512131
  149: F1: 92.81, P: 93.69, R: 91.96, RollIn = 0.0005, NZW = 511555
  150: F1: 92.81, P: 93.69, R: 91.94, RollIn = 0.0005, NZW = 511527
  151: F1: 92.82, P: 93.71, R: 91.96, RollIn = 0.0004, NZW = 511644
  152: F1: 92.82, P: 93.71, R: 91.96, RollIn = 0.0004, NZW = 511003
  153: F1: 92.85, P: 93.72, R: 91.99, RollIn = 0.0004, NZW = 509947
  154: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0004, NZW = 509721
  155: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.0004, NZW = 509435
  156: F1: 92.82, P: 93.72, R: 91.94, RollIn = 0.0003, NZW = 509588
  157: F1: 92.81, P: 93.70, R: 91.94, RollIn = 0.0003, NZW = 508589
  158: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0003, NZW = 507789
  159: F1: 92.81, P: 93.70, R: 91.94, RollIn = 0.0003, NZW = 507359
  160: F1: 92.77, P: 93.65, R: 91.91, RollIn = 0.0003, NZW = 507196
  161: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0003, NZW = 507267
  162: F1: 92.72, P: 93.57, R: 91.89, RollIn = 0.0002, NZW = 505991
  163: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0002, NZW = 505262
  164: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0002, NZW = 504888
  165: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0002, NZW = 504819
  166: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.0002, NZW = 504791
