[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
  159: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0003, NZW = 1648015
  160: F1: 92.55, P: 93.69, R: 91.43, RollIn = 0.0003, NZW = 1648352
  161: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0003, NZW = 1648713
  162: F1: 92.51, P: 93.64, R: 91.42, RollIn = 0.0002, NZW = 1648881
  163: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0002, NZW = 1649207
  164: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0002, NZW = 1649387
  165: F1: 92.51, P: 93.64, R: 91.42, RollIn = 0.0002, NZW = 1649700
  166: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0002, NZW = 1650030
  167: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0002, NZW = 1650104
  168: F1: 92.52, P: 93.64, R: 91.43, RollIn = 0.0002, NZW = 1649913
  169: F1: 92.52, P: 93.64, R: 91.43, RollIn = 0.0002, NZW = 1649812
  170: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0002, NZW = 1649806
  171: F1: 92.51, P: 93.62, R: 91.42, RollIn = 0.0002, NZW = 1649786
  172: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0001, NZW = 1649753
  173: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0001, NZW = 1649728
  174: F1: 92.52, P: 93.64, R: 91.43, RollIn = 0.0001, NZW = 1649678
  175: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0001, NZW = 1649751
  176: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0001, NZW = 1649773
  177: F1: 92.52, P: 93.66, R: 91.42, RollIn = 0.0001, NZW = 1649815
  178: F1: 92.52, P: 93.64, R: 91.43, RollIn = 0.0001, NZW = 1649875
  179: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0001, NZW = 1649993
  180: F1: 92.47, P: 93.60, R: 91.37, RollIn = 0.0001, NZW = 1649998
  181: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0001, NZW = 1650074
  182: F1: 92.46, P: 93.60, R: 91.35, RollIn = 0.0001, NZW = 1650148
  183: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0001, NZW = 1650236
  184: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0001, NZW = 1650263
  185: F1: 92.50, P: 93.64, R: 91.38, RollIn = 0.0001, NZW = 1650362
  186: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0001, NZW = 1650404
  187: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0001, NZW = 1650445
  188: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0001, NZW = 1650636
  189: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0001, NZW = 1650712
  190: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0001, NZW = 1650842
  191: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0001, NZW = 1651067
  192: F1: 92.52, P: 93.66, R: 91.42, RollIn = 0.0001, NZW = 1651091
  193: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0001, NZW = 1651113
  194: F1: 92.51, P: 93.64, R: 91.42, RollIn = 0.0000, NZW = 1651190
  195: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0000, NZW = 1651321
  196: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1651379
  197: F1: 92.55, P: 93.67, R: 91.45, RollIn = 0.0000, NZW = 1651546
  198: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1651659
  199: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0000, NZW = 1651766
