[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   86: F1: 92.86, P: 93.76, R: 91.99, RollIn = 0.0121, NZW = 483064
   87: F1: 92.80, P: 93.66, R: 91.96, RollIn = 0.0115, NZW = 482754
   88: F1: 92.80, P: 93.66, R: 91.96, RollIn = 0.0110, NZW = 482963
   89: F1: 92.90, P: 93.76, R: 92.06, RollIn = 0.0104, NZW = 480758
   90: F1: 92.89, P: 93.77, R: 92.02, RollIn = 0.0099, NZW = 480306
   91: F1: 92.86, P: 93.76, R: 91.97, RollIn = 0.0094, NZW = 480006
   92: F1: 92.87, P: 93.76, R: 92.01, RollIn = 0.0089, NZW = 480111
   93: F1: 92.88, P: 93.79, R: 91.99, RollIn = 0.0085, NZW = 479463
   94: F1: 92.89, P: 93.80, R: 91.99, RollIn = 0.0081, NZW = 477360
   95: F1: 92.82, P: 93.74, R: 91.92, RollIn = 0.0077, NZW = 476412
   96: F1: 92.83, P: 93.75, R: 91.92, RollIn = 0.0073, NZW = 476405
   97: F1: 92.85, P: 93.80, R: 91.92, RollIn = 0.0069, NZW = 476461
   98: F1: 92.84, P: 93.80, R: 91.91, RollIn = 0.0066, NZW = 476001
   99: F1: 92.80, P: 93.72, R: 91.91, RollIn = 0.0062, NZW = 474899
  100: F1: 92.80, P: 93.73, R: 91.89, RollIn = 0.0059, NZW = 474420
  101: F1: 92.82, P: 93.72, R: 91.94, RollIn = 0.0056, NZW = 474395
  102: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.0053, NZW = 474466
  103: F1: 92.83, P: 93.71, R: 91.97, RollIn = 0.0051, NZW = 473877
  104: F1: 92.84, P: 93.74, R: 91.96, RollIn = 0.0048, NZW = 472876
  105: F1: 92.87, P: 93.79, R: 91.97, RollIn = 0.0046, NZW = 472671
  106: F1: 92.88, P: 93.82, R: 91.96, RollIn = 0.0044, NZW = 472761
  107: F1: 92.88, P: 93.80, R: 91.97, RollIn = 0.0041, NZW = 472603
  108: F1: 92.93, P: 93.89, R: 91.99, RollIn = 0.0039, NZW = 471586
  109: F1: 93.01, P: 93.97, R: 92.07, RollIn = 0.0037, NZW = 470034
  110: F1: 92.90, P: 93.84, R: 91.99, RollIn = 0.0035, NZW = 469598
  111: F1: 92.86, P: 93.77, R: 91.97, RollIn = 0.0034, NZW = 469224
  112: F1: 92.89, P: 93.79, R: 92.01, RollIn = 0.0032, NZW = 469179
  113: F1: 92.90, P: 93.84, R: 91.99, RollIn = 0.0030, NZW = 468116
  114: F1: 92.86, P: 93.74, R: 91.99, RollIn = 0.0029, NZW = 467209
  115: F1: 92.95, P: 93.86, R: 92.06, RollIn = 0.0027, NZW = 466663
  116: F1: 92.88, P: 93.76, R: 92.02, RollIn = 0.0026, NZW = 466420
  117: F1: 92.91, P: 93.81, R: 92.02, RollIn = 0.0025, NZW = 466413
  118: F1: 92.90, P: 93.81, R: 92.01, RollIn = 0.0024, NZW = 465057
  119: F1: 92.89, P: 93.84, R: 91.97, RollIn = 0.0022, NZW = 464382
  120: F1: 92.88, P: 93.80, R: 91.97, RollIn = 0.0021, NZW = 464080
  121: F1: 92.86, P: 93.79, R: 91.96, RollIn = 0.0020, NZW = 463726
  122: F1: 92.86, P: 93.77, R: 91.97, RollIn = 0.0019, NZW = 463444
  123: F1: 92.84, P: 93.72, R: 91.97, RollIn = 0.0018, NZW = 461849
  124: F1: 92.83, P: 93.71, R: 91.97, RollIn = 0.0017, NZW = 461116
