[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 1.0E-6, bias = 0.5, batch = 5
  132: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0011, NZW = 997929
  133: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0011, NZW = 996354
  134: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0010, NZW = 996468
  135: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0010, NZW = 996324
  136: F1: 92.52, P: 93.66, R: 91.42, RollIn = 0.0009, NZW = 996643
  137: F1: 92.52, P: 93.66, R: 91.42, RollIn = 0.0009, NZW = 996092
  138: F1: 92.50, P: 93.64, R: 91.38, RollIn = 0.0008, NZW = 994466
  139: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0008, NZW = 994562
  140: F1: 92.50, P: 93.64, R: 91.38, RollIn = 0.0008, NZW = 994366
  141: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0007, NZW = 994245
  142: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0007, NZW = 993848
  143: F1: 92.50, P: 93.64, R: 91.38, RollIn = 0.0007, NZW = 992621
  144: F1: 92.50, P: 93.64, R: 91.38, RollIn = 0.0006, NZW = 992353
  145: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0006, NZW = 992295
  146: F1: 92.52, P: 93.66, R: 91.42, RollIn = 0.0006, NZW = 992514
  147: F1: 92.53, P: 93.64, R: 91.45, RollIn = 0.0005, NZW = 991485
  148: F1: 92.53, P: 93.64, R: 91.45, RollIn = 0.0005, NZW = 990474
  149: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0005, NZW = 990589
  150: F1: 92.56, P: 93.66, R: 91.48, RollIn = 0.0005, NZW = 990999
  151: F1: 92.52, P: 93.62, R: 91.43, RollIn = 0.0004, NZW = 991261
  152: F1: 92.53, P: 93.63, R: 91.47, RollIn = 0.0004, NZW = 990029
  153: F1: 92.51, P: 93.61, R: 91.43, RollIn = 0.0004, NZW = 988891
  154: F1: 92.51, P: 93.61, R: 91.43, RollIn = 0.0004, NZW = 988469
  155: F1: 92.55, P: 93.64, R: 91.48, RollIn = 0.0004, NZW = 988130
  156: F1: 92.53, P: 93.63, R: 91.47, RollIn = 0.0003, NZW = 987967
  157: F1: 92.53, P: 93.63, R: 91.47, RollIn = 0.0003, NZW = 987036
  158: F1: 92.53, P: 93.63, R: 91.47, RollIn = 0.0003, NZW = 986259
  159: F1: 92.53, P: 93.63, R: 91.45, RollIn = 0.0003, NZW = 985984
  160: F1: 92.53, P: 93.63, R: 91.47, RollIn = 0.0003, NZW = 985750
  161: F1: 92.53, P: 93.61, R: 91.47, RollIn = 0.0003, NZW = 985923
  162: F1: 92.53, P: 93.61, R: 91.47, RollIn = 0.0002, NZW = 984666
  163: F1: 92.52, P: 93.61, R: 91.45, RollIn = 0.0002, NZW = 983925
  164: F1: 92.53, P: 93.63, R: 91.45, RollIn = 0.0002, NZW = 983411
  165: F1: 92.52, P: 93.62, R: 91.43, RollIn = 0.0002, NZW = 983481
  166: F1: 92.52, P: 93.62, R: 91.43, RollIn = 0.0002, NZW = 983447
  167: F1: 92.51, P: 93.62, R: 91.42, RollIn = 0.0002, NZW = 981998
  168: F1: 92.51, P: 93.62, R: 91.42, RollIn = 0.0002, NZW = 981517
  169: F1: 92.53, P: 93.63, R: 91.45, RollIn = 0.0002, NZW = 981308
  170: F1: 92.53, P: 93.63, R: 91.47, RollIn = 0.0002, NZW = 981441
  171: F1: 92.54, P: 93.64, R: 91.47, RollIn = 0.0002, NZW = 981712
  172: F1: 92.55, P: 93.64, R: 91.48, RollIn = 0.0001, NZW = 980462
  173: F1: 92.55, P: 93.66, R: 91.47, RollIn = 0.0001, NZW = 980219
  174: F1: 92.55, P: 93.66, R: 91.47, RollIn = 0.0001, NZW = 979992
  175: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0001, NZW = 979949
  176: F1: 92.53, P: 93.64, R: 91.45, RollIn = 0.0001, NZW = 979827
  177: F1: 92.54, P: 93.64, R: 91.47, RollIn = 0.0001, NZW = 978482
  178: F1: 92.51, P: 93.62, R: 91.42, RollIn = 0.0001, NZW = 978272
  179: F1: 92.53, P: 93.64, R: 91.45, RollIn = 0.0001, NZW = 978099
  180: F1: 92.53, P: 93.64, R: 91.45, RollIn = 0.0001, NZW = 978031
  181: F1: 92.52, P: 93.62, R: 91.43, RollIn = 0.0001, NZW = 978046
  182: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0001, NZW = 977101
  183: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0001, NZW = 976779
  184: F1: 92.55, P: 93.66, R: 91.47, RollIn = 0.0001, NZW = 976538
  185: F1: 92.54, P: 93.66, R: 91.45, RollIn = 0.0001, NZW = 976497
  186: F1: 92.55, P: 93.66, R: 91.47, RollIn = 0.0001, NZW = 976042
  187: F1: 92.55, P: 93.66, R: 91.47, RollIn = 0.0001, NZW = 974920
  188: F1: 92.57, P: 93.69, R: 91.48, RollIn = 0.0001, NZW = 974798
  189: F1: 92.57, P: 93.69, R: 91.48, RollIn = 0.0001, NZW = 974636
