[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  119: F1: 92.79, P: 93.75, R: 91.85, RollIn = 0.0022, NZW = 443763
  120: F1: 92.79, P: 93.78, R: 91.82, RollIn = 0.0021, NZW = 443434
  121: F1: 92.76, P: 93.77, R: 91.77, RollIn = 0.0020, NZW = 443442
  122: F1: 92.79, P: 93.79, R: 91.80, RollIn = 0.0019, NZW = 443621
  123: F1: 92.74, P: 93.79, R: 91.72, RollIn = 0.0018, NZW = 442284
  124: F1: 92.69, P: 93.71, R: 91.70, RollIn = 0.0017, NZW = 441342
  125: F1: 92.76, P: 93.74, R: 91.80, RollIn = 0.0016, NZW = 440926
  126: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0016, NZW = 441170
  127: F1: 92.73, P: 93.74, R: 91.74, RollIn = 0.0015, NZW = 440755
  128: F1: 92.81, P: 93.78, R: 91.85, RollIn = 0.0014, NZW = 439264
  129: F1: 92.77, P: 93.76, R: 91.80, RollIn = 0.0013, NZW = 438845
  130: F1: 92.75, P: 93.76, R: 91.77, RollIn = 0.0013, NZW = 438985
  131: F1: 92.76, P: 93.77, R: 91.77, RollIn = 0.0012, NZW = 438660
  132: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0011, NZW = 438468
  133: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0011, NZW = 437015
  134: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0010, NZW = 436521
  135: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0010, NZW = 436298
  136: F1: 92.84, P: 93.75, R: 91.94, RollIn = 0.0009, NZW = 436042
  137: F1: 92.84, P: 93.74, R: 91.96, RollIn = 0.0009, NZW = 435355
  138: F1: 92.80, P: 93.75, R: 91.87, RollIn = 0.0008, NZW = 433842
  139: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0008, NZW = 433570
  140: F1: 92.82, P: 93.75, R: 91.91, RollIn = 0.0008, NZW = 433490
  141: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0007, NZW = 433060
  142: F1: 92.85, P: 93.80, R: 91.92, RollIn = 0.0007, NZW = 432558
  143: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0007, NZW = 431357
  144: F1: 92.81, P: 93.73, R: 91.91, RollIn = 0.0006, NZW = 430900
  145: F1: 92.84, P: 93.75, R: 91.94, RollIn = 0.0006, NZW = 431067
  146: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0006, NZW = 430943
  147: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0005, NZW = 430146
  148: F1: 92.82, P: 93.74, R: 91.92, RollIn = 0.0005, NZW = 428952
  149: F1: 92.88, P: 93.76, R: 92.02, RollIn = 0.0005, NZW = 428728
