[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  104: F1: 92.77, P: 93.79, R: 91.77, RollIn = 0.0048, NZW = 536164
  105: F1: 92.80, P: 93.81, R: 91.82, RollIn = 0.0046, NZW = 536301
  106: F1: 92.80, P: 93.81, R: 91.82, RollIn = 0.0044, NZW = 536521
  107: F1: 92.80, P: 93.81, R: 91.82, RollIn = 0.0041, NZW = 536288
  108: F1: 92.81, P: 93.81, R: 91.84, RollIn = 0.0039, NZW = 534518
  109: F1: 92.83, P: 93.86, R: 91.82, RollIn = 0.0037, NZW = 532531
  110: F1: 92.76, P: 93.77, R: 91.77, RollIn = 0.0035, NZW = 532107
  111: F1: 92.77, P: 93.76, R: 91.80, RollIn = 0.0034, NZW = 531954
  112: F1: 92.75, P: 93.77, R: 91.75, RollIn = 0.0032, NZW = 532216
  113: F1: 92.74, P: 93.74, R: 91.75, RollIn = 0.0030, NZW = 530826
  114: F1: 92.74, P: 93.80, R: 91.70, RollIn = 0.0029, NZW = 530049
  115: F1: 92.82, P: 93.86, R: 91.80, RollIn = 0.0027, NZW = 529955
  116: F1: 92.85, P: 93.88, R: 91.84, RollIn = 0.0026, NZW = 529992
  117: F1: 92.76, P: 93.80, R: 91.74, RollIn = 0.0025, NZW = 530122
  118: F1: 92.80, P: 93.84, R: 91.79, RollIn = 0.0024, NZW = 528769
  119: F1: 92.75, P: 93.79, R: 91.74, RollIn = 0.0022, NZW = 527644
  120: F1: 92.74, P: 93.76, R: 91.74, RollIn = 0.0021, NZW = 527450
  121: F1: 92.72, P: 93.72, R: 91.74, RollIn = 0.0020, NZW = 527034
  122: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0019, NZW = 527045
  123: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0018, NZW = 525415
  124: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0017, NZW = 524397
  125: F1: 92.67, P: 93.67, R: 91.69, RollIn = 0.0016, NZW = 523914
  126: F1: 92.65, P: 93.64, R: 91.69, RollIn = 0.0016, NZW = 523582
  127: F1: 92.63, P: 93.67, R: 91.62, RollIn = 0.0015, NZW = 523261
  128: F1: 92.66, P: 93.69, R: 91.65, RollIn = 0.0014, NZW = 521335
  129: F1: 92.66, P: 93.69, R: 91.65, RollIn = 0.0013, NZW = 521441
  130: F1: 92.56, P: 93.58, R: 91.55, RollIn = 0.0013, NZW = 521509
  131: F1: 92.57, P: 93.57, R: 91.59, RollIn = 0.0012, NZW = 521397
  132: F1: 92.56, P: 93.55, R: 91.59, RollIn = 0.0011, NZW = 521685
  133: F1: 92.56, P: 93.58, R: 91.55, RollIn = 0.0011, NZW = 519968
  134: F1: 92.60, P: 93.60, R: 91.62, RollIn = 0.0010, NZW = 519731
  135: F1: 92.60, P: 93.60, R: 91.62, RollIn = 0.0010, NZW = 519751
  136: F1: 92.66, P: 93.69, R: 91.65, RollIn = 0.0009, NZW = 519584
  137: F1: 92.68, P: 93.70, R: 91.69, RollIn = 0.0009, NZW = 519419
  138: F1: 92.65, P: 93.67, R: 91.65, RollIn = 0.0008, NZW = 517988
  139: F1: 92.69, P: 93.69, R: 91.72, RollIn = 0.0008, NZW = 517142
  140: F1: 92.71, P: 93.72, R: 91.72, RollIn = 0.0008, NZW = 517080
  141: F1: 92.72, P: 93.72, R: 91.74, RollIn = 0.0007, NZW = 516692
  142: F1: 92.78, P: 93.84, R: 91.75, RollIn = 0.0007, NZW = 516004
  143: F1: 92.75, P: 93.77, R: 91.75, RollIn = 0.0007, NZW = 514651
  144: F1: 92.76, P: 93.82, R: 91.72, RollIn = 0.0006, NZW = 514843
  145: F1: 92.68, P: 93.72, R: 91.67, RollIn = 0.0006, NZW = 514689
  146: F1: 92.65, P: 93.69, R: 91.64, RollIn = 0.0006, NZW = 514357
  147: F1: 92.64, P: 93.67, R: 91.64, RollIn = 0.0005, NZW = 513358
  148: F1: 92.62, P: 93.68, R: 91.59, RollIn = 0.0005, NZW = 512367
  149: F1: 92.67, P: 93.72, R: 91.65, RollIn = 0.0005, NZW = 511467
  150: F1: 92.69, P: 93.72, R: 91.69, RollIn = 0.0005, NZW = 511296
  151: F1: 92.69, P: 93.71, R: 91.70, RollIn = 0.0004, NZW = 511058
  152: F1: 92.77, P: 93.79, R: 91.77, RollIn = 0.0004, NZW = 509988
  153: F1: 92.72, P: 93.74, R: 91.72, RollIn = 0.0004, NZW = 508827
  154: F1: 92.74, P: 93.82, R: 91.69, RollIn = 0.0004, NZW = 508674
  155: F1: 92.79, P: 93.85, R: 91.75, RollIn = 0.0004, NZW = 508441
  156: F1: 92.79, P: 93.87, R: 91.74, RollIn = 0.0003, NZW = 508024
  157: F1: 92.76, P: 93.80, R: 91.74, RollIn = 0.0003, NZW = 507166
  158: F1: 92.78, P: 93.82, R: 91.75, RollIn = 0.0003, NZW = 506152
  159: F1: 92.70, P: 93.74, R: 91.69, RollIn = 0.0003, NZW = 505802
  160: F1: 92.76, P: 93.79, R: 91.75, RollIn = 0.0003, NZW = 505984
  161: F1: 92.80, P: 93.83, R: 91.80, RollIn = 0.0003, NZW = 506196
  162: F1: 92.74, P: 93.80, R: 91.70, RollIn = 0.0002, NZW = 504882
  163: F1: 92.79, P: 93.87, R: 91.74, RollIn = 0.0002, NZW = 504251
  164: F1: 92.74, P: 93.79, R: 91.72, RollIn = 0.0002, NZW = 503862
  165: F1: 92.74, P: 93.77, R: 91.74, RollIn = 0.0002, NZW = 503687
  166: F1: 92.83, P: 93.87, R: 91.80, RollIn = 0.0002, NZW = 503881
  167: F1: 92.84, P: 93.86, R: 91.84, RollIn = 0.0002, NZW = 502655
  168: F1: 92.84, P: 93.86, R: 91.84, RollIn = 0.0002, NZW = 502168
  169: F1: 92.85, P: 93.85, R: 91.87, RollIn = 0.0002, NZW = 501947
  170: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0002, NZW = 501583
  171: F1: 92.88, P: 93.85, R: 91.94, RollIn = 0.0002, NZW = 501727
  172: F1: 92.86, P: 93.83, R: 91.91, RollIn = 0.0001, NZW = 500446
  173: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.0001, NZW = 500224
  174: F1: 92.85, P: 93.82, R: 91.91, RollIn = 0.0001, NZW = 499589
  175: F1: 92.87, P: 93.83, R: 91.92, RollIn = 0.0001, NZW = 499470
  176: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0001, NZW = 499365
  177: F1: 92.81, P: 93.83, R: 91.82, RollIn = 0.0001, NZW = 497711
  178: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0001, NZW = 497741
  179: F1: 92.80, P: 93.81, R: 91.82, RollIn = 0.0001, NZW = 497719
  180: F1: 92.80, P: 93.79, R: 91.82, RollIn = 0.0001, NZW = 497628
  181: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0001, NZW = 497749
  182: F1: 92.77, P: 93.76, R: 91.80, RollIn = 0.0001, NZW = 496461
  183: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0001, NZW = 496295
  184: F1: 92.71, P: 93.69, R: 91.75, RollIn = 0.0001, NZW = 496107
  185: F1: 92.68, P: 93.67, R: 91.70, RollIn = 0.0001, NZW = 496105
  186: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0001, NZW = 495586
  187: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.0001, NZW = 494473
  188: F1: 92.81, P: 93.78, R: 91.85, RollIn = 0.0001, NZW = 494181
  189: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0001, NZW = 493727
  190: F1: 92.78, P: 93.72, R: 91.87, RollIn = 0.0001, NZW = 493579
  191: F1: 92.82, P: 93.80, R: 91.87, RollIn = 0.0001, NZW = 493119
  192: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0001, NZW = 492340
  193: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0001, NZW = 492253
