[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  100: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0059, NZW = 535530
  101: F1: 92.61, P: 93.53, R: 91.70, RollIn = 0.0056, NZW = 535662
  102: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0053, NZW = 535559
  103: F1: 92.54, P: 93.49, R: 91.60, RollIn = 0.0051, NZW = 534843
  104: F1: 92.56, P: 93.55, R: 91.59, RollIn = 0.0048, NZW = 532969
  105: F1: 92.58, P: 93.57, R: 91.60, RollIn = 0.0046, NZW = 532322
  106: F1: 92.52, P: 93.53, R: 91.53, RollIn = 0.0044, NZW = 531776
  107: F1: 92.49, P: 93.47, R: 91.53, RollIn = 0.0041, NZW = 531426
  108: F1: 92.40, P: 93.38, R: 91.43, RollIn = 0.0039, NZW = 529750
  109: F1: 92.41, P: 93.38, R: 91.45, RollIn = 0.0037, NZW = 528055
  110: F1: 92.40, P: 93.38, R: 91.43, RollIn = 0.0035, NZW = 527535
  111: F1: 92.45, P: 93.43, R: 91.48, RollIn = 0.0034, NZW = 527569
  112: F1: 92.45, P: 93.45, R: 91.47, RollIn = 0.0032, NZW = 527273
  113: F1: 92.49, P: 93.45, R: 91.55, RollIn = 0.0030, NZW = 525749
  114: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0029, NZW = 524398
  115: F1: 92.40, P: 93.37, R: 91.45, RollIn = 0.0027, NZW = 523639
  116: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0026, NZW = 522935
  117: F1: 92.50, P: 93.50, R: 91.52, RollIn = 0.0025, NZW = 523108
  118: F1: 92.45, P: 93.42, R: 91.50, RollIn = 0.0024, NZW = 521134
  119: F1: 92.52, P: 93.50, R: 91.55, RollIn = 0.0022, NZW = 520510
  120: F1: 92.53, P: 93.49, R: 91.59, RollIn = 0.0021, NZW = 520016
  121: F1: 92.60, P: 93.62, R: 91.60, RollIn = 0.0020, NZW = 519334
  122: F1: 92.54, P: 93.51, R: 91.59, RollIn = 0.0019, NZW = 519154
  123: F1: 92.53, P: 93.50, R: 91.57, RollIn = 0.0018, NZW = 517477
  124: F1: 92.53, P: 93.55, R: 91.53, RollIn = 0.0017, NZW = 516507
  125: F1: 92.56, P: 93.54, R: 91.60, RollIn = 0.0016, NZW = 516629
  126: F1: 92.52, P: 93.47, R: 91.59, RollIn = 0.0016, NZW = 516484
  127: F1: 92.53, P: 93.49, R: 91.59, RollIn = 0.0015, NZW = 516455
  128: F1: 92.58, P: 93.50, R: 91.69, RollIn = 0.0014, NZW = 514415
  129: F1: 92.59, P: 93.53, R: 91.67, RollIn = 0.0013, NZW = 513760
  130: F1: 92.56, P: 93.48, R: 91.65, RollIn = 0.0013, NZW = 513729
  131: F1: 92.59, P: 93.54, R: 91.65, RollIn = 0.0012, NZW = 513888
  132: F1: 92.58, P: 93.54, R: 91.64, RollIn = 0.0011, NZW = 513866
  133: F1: 92.56, P: 93.51, R: 91.64, RollIn = 0.0011, NZW = 511881
  134: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0010, NZW = 511124
