[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   99: F1: 92.78, P: 93.72, R: 91.87, RollIn = 0.0062, NZW = 524215
  100: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0059, NZW = 523728
  101: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0056, NZW = 523668
  102: F1: 92.73, P: 93.74, R: 91.74, RollIn = 0.0053, NZW = 523141
  103: F1: 92.73, P: 93.74, R: 91.74, RollIn = 0.0051, NZW = 522102
  104: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0048, NZW = 520633
  105: F1: 92.77, P: 93.78, R: 91.79, RollIn = 0.0046, NZW = 520286
  106: F1: 92.82, P: 93.77, R: 91.89, RollIn = 0.0044, NZW = 520184
  107: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0041, NZW = 520314
  108: F1: 92.76, P: 93.71, R: 91.82, RollIn = 0.0039, NZW = 519663
  109: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0037, NZW = 518222
  110: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0035, NZW = 517393
  111: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0034, NZW = 516921
  112: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0032, NZW = 517101
  113: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0030, NZW = 515621
  114: F1: 92.65, P: 93.64, R: 91.69, RollIn = 0.0029, NZW = 514198
  115: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0027, NZW = 514069
  116: F1: 92.69, P: 93.66, R: 91.74, RollIn = 0.0026, NZW = 513763
  117: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0025, NZW = 513382
  118: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0024, NZW = 512028
  119: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0022, NZW = 511015
  120: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0021, NZW = 510965
  121: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0020, NZW = 511032
  122: F1: 92.80, P: 93.75, R: 91.87, RollIn = 0.0019, NZW = 511365
  123: F1: 92.76, P: 93.74, R: 91.80, RollIn = 0.0018, NZW = 510110
  124: F1: 92.80, P: 93.78, R: 91.84, RollIn = 0.0017, NZW = 509171
  125: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0016, NZW = 508593
  126: F1: 92.75, P: 93.77, R: 91.75, RollIn = 0.0016, NZW = 508258
  127: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0015, NZW = 508087
  128: F1: 92.72, P: 93.72, R: 91.74, RollIn = 0.0014, NZW = 506273
